5542108
/m/0drpmv
/m/0drpmv
Nick Enright

a 6
accused 1
across 1
after 2
alcohol 1
also 2
among 1
an 1
and 7
arrived 1
as 1
at 1
attacks 1
australian 1
available 1
back 1
be 2
beach 2
behaviours 1
being 1
between 1
birthday 1
blackrock 2
breakdown 1
breast 1
brother 3
bulletins 1
but 1
by 3
called 2
came 2
cancer 1
cherie 1
city 1
clubunsupervised 1
community 1
continued 1
cousin 1
davo 1
day 1
desire 1
diane 1
did 1
differently 1
elevenmonth 1
eventually 1
face 1
few 1
fictional 1
first 1
for 1
freely 1
from 2
gave 1
get 1
girl 1
girlfriend 1
had 3
happened 2
he 2
held 1
her 1
him 1
his 4
home 1
if 1
in 2
it 1
jared 6
justice 1
later 1
led 1
legend 1
like 1
lives 1
local 2
locals 1
mateship 1
mother 1
much 1
murdered 1
name 1
nation 1
need 1
news 2
nights 1
not 1
nothing 2
odyssey 1
of 5
one 2
only 1
other 1
part 1
party 1
popular 1
protect 1
rachel 5
raped 1
rapists 1
reacted 1
recovering 1
relationships 1
resorted 1
reveal 1
ricko 4
rock 1
sake 1
saw 1
scott 1
scrutinized 1
serious 1
set 1
she 1
side 1
silence 1
soon 2
stop 1
suburb 1
surfers 1
surfing 2
that 1
the 16
their 1
three 1
to 7
toby 4
together 1
torn 1
tracy 1
tragedy 1
violent 1
was 8
wealthier 1
welcome 1
what 1
where 1
which 2
who 3
with 4
witnessed 1
workingclass 1
would 1
youths 2
