2080
/m/0wkt
/m/0wkt
Vernor Vinge

{"/m/03lrw": "Hard science fiction", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
10000 1
a 20
ability 1
about 1
accelerating 1
act 1
activate 1
actually 2
adults 2
advanced 3
advancement 1
after 1
agent 1
ai 1
all 1
allowed 1
allowing 1
allying 1
also 2
ambitious 1
an 2
and 23
archive 2
are 3
around 1
arriving 1
as 9
asked 1
assumes 1
assuming 1
at 4
attacks 1
attempt 1
awakened 1
band 2
be 1
before 1
begin 1
behavior 1
being 1
benign 1
bergsndot 1
beyond 1
biological 1
blight 12
boxes 3
boy 1
bring 1
but 3
by 8
called 2
can 1
cannon 1
capture 1
cargo 1
carried 1
carrying 1
causing 1
changes 1
children 1
civilization 4
civilizations 1
coldsleep 2
communication 1
communications 1
compromised 1
computer 1
concentric 1
constrained 1
constructs 1
contacts 2
contains 3
control 2
core 1
cost 1
could 2
countermeasure 3
creatures 1
culminating 1
danger 1
data 2
deaths 1
defeat 1
degrees 1
depths 2
description 1
designs 1
destroys 2
destruction 1
develop 2
developmental 1
develops 1
device 1
different 2
discovers 1
distant 1
distress 1
divided 1
doglike 1
dormant 1
dubbed 1
dying 1
each 2
employee 1
enclose 1
encoded 1
ends 1
entities 1
entity 2
equivalent 1
escape 2
even 1
eventually 2
evolution 1
exceed 1
expedition 2
exploits 1
exponentially 1
extends 1
extinction 1
facility 1
faction 2
failing 1
fears 1
few 1
final 1
fivebillionyearold 1
flee 1
flowering 1
for 2
forces 1
forms 1
from 2
ftl 1
further 1
futuristic 1
gain 1
galactic 4
gives 1
godshatter 1
gradually 1
group 1
halo 1
hand 1
harm 1
have 1
held 1
help 1
her 1
high 5
homeworld 1
how 1
human 4
humans 5
ii 2
imaginative 1
impending 1
impossible 1
in 13
incapable 1
incomprehensibly 1
infiltrate 1
information 3
initially 1
initiates 1
innermost 1
intended 1
into 1
investigate 1
investigates 1
is 12
it 6
its 3
jefri 2
johanna 1
killed 1
killing 1
kills 2
known 4
lab 5
lands 1
later 2
laws 1
layer 1
layers 1
learns 1
led 2
life 2
lightyears 1
live 1
living 1
major 1
man 1
manifest 1
many 1
medievallevel 1
mere 1
milky 1
minds 1
minute 1
most 2
named 3
necessary 1
network 1
next 1
nighomnipotent 1
no 1
node 1
novel 2
now 1
nuwen 1
of 30
offers 1
old 5
older 1
olsndot 1
on 3
one 8
order 1
organization 1
other 1
out 3
outermost 1
owners 1
packs 1
pham 6
physics 1
pilgrim 1
planet 1
populated 1
posits 1
possess 1
possibility 1
posthuman 1
potential 1
potentially 1
power 2
powerful 1
process 2
races 1
radio 1
rapidly 2
ravna 2
reach 1
reaches 1
real 1
realizes 1
realm 1
recognizing 1
relay 5
released 1
rescue 1
rescued 1
researchers 1
revealed 1
riches 1
rival 2
roughly 1
said 1
scriber 1
second 1
seeking 1
seemingly 1
seize 1
several 1
she 1
ship 9
ships 2
shortly 1
signal 2
single 1
sister 1
sleeper 3
slow 3
space 1
stages 1
starts 1
steel 3
storage 1
strands 1
straumli 1
such 2
superintelligence 1
superintelligent 1
support 1
supporting 1
surrounds 1
surviving 1
suspicious 1
systems 1
technological 1
technologies 1
technology 2
that 10
the 78
them 1
they 2
things 1
this 2
those 1
thousands 2
threat 2
through 1
tine 1
tines 7
to 18
trace 1
transcend 1
transcendent 2
travel 1
trillions 1
two 2
unfathomable 1
unharmed 1
unimaginable 1
uninvolved 1
universe 1
unloading 1
unthinking 1
upper 1
vast 1
vessel 1
vrinimi 1
wandering 1
war 1
way 1
wealthy 1
what 2
when 1
where 1
which 1
while 1
who 3
whom 1
with 4
within 1
woodcarver 2
world 4
wrecking 1
years 1
young 1
zone 5
zones 1
