21811766
/m/05p9bxw
/m/05p9bxw
Cassandra Clare
2008-03-25
{"/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction"}
a 15
about 3
abruptly 1
accuse 1
act 1
after 8
again 1
alec 2
allowed 1
almost 1
along 1
and 28
angered 1
angers 1
anything 1
anyway 1
apartment 1
appear 1
appears 2
are 1
argues 1
as 6
at 4
attacked 2
attacking 2
attempts 1
back 1
bane 1
bar 1
battle 1
be 2
because 1
been 3
before 2
begins 1
being 3
believe 1
blood 4
boat 1
breaking 1
brother 1
brothers 2
brought 3
but 1
by 10
call 1
calling 1
can 2
causes 1
cell 1
change 2
child 1
city 2
claims 1
clary 16
comes 1
coming 1
completely 1
confront 1
confronts 1
confused 1
consequences 1
consuming 1
day 1
daylighter 1
death 1
demon 2
demons 3
desires 1
despite 1
dies 1
discover 3
discovered 1
discovers 2
discussing 1
distress 1
doesnt 1
drained 1
during 2
each 1
emotions 1
escapes 1
eventually 1
everyone 1
exiled 1
fairy 3
falls 1
family 1
fear 1
fed 1
feeding 1
feelings 1
felt 1
figure 1
finish 1
first 1
food 1
for 6
freedom 1
frees 1
friends 1
from 5
further 1
gain 1
get 1
girlfriend 1
go 2
goes 1
going 1
group 1
guilt 2
had 1
has 7
have 1
having 1
he 5
heads 1
heal 1
hears 1
heart 1
help 3
her 17
him 9
his 11
home 1
hospital 1
house 4
how 3
however 3
idris 1
if 2
ignore 1
imprisoned 1
imprisons 1
in 7
informed 1
innocence 2
inquisitor 7
instead 1
institute 2
instrument 1
instruments 2
into 3
is 11
isabelle 3
it 2
its 1
jace 27
joins 1
keep 1
keeping 1
kicked 1
kidnapped 1
kidnapping 1
kidnaps 1
kill 1
killed 1
kills 2
kiss 1
kisses 2
kissing 1
knows 1
later 3
leave 1
leaving 1
left 1
lie 1
life 2
live 1
living 1
love 2
luke 6
made 1
madeline 1
magnus 2
maia 4
manages 1
meanwhile 1
message 1
mind 1
morning 1
mortal 3
most 1
mother 5
named 1
nearby 1
needless 1
new 1
newborn 1
next 1
nixies 1
not 2
now 2
nowhere 1
obvious 1
of 11
off 2
offers 3
on 2
once 1
one 2
only 9
or 1
order 2
other 1
others 2
out 2
outside 1
over 2
pack 2
planning 1
plans 1
potential 1
potentially 1
prisoner 1
process 1
prompting 1
protection 1
prove 2
queen 1
raphael 1
realm 2
receives 1
reels 1
refuses 3
regrets 1
relationship 2
replies 1
rescue 1
respond 1
restore 1
result 1
return 2
returns 1
reveals 1
save 1
saved 2
say 1
scar 1
second 1
secret 1
see 1
seeing 1
sent 1
severe 1
shaped 1
she 8
shows 1
siblings 1
silent 4
simon 11
sitting 1
slain 1
slaying 1
some 1
something 1
soulsword 1
spare 1
spy 1
star 1
start 1
status 1
still 1
storms 1
sudden 2
suddenly 1
suggests 1
sun 1
suspicions 1
sword 1
talk 1
tangled 1
tell 3
telling 1
tells 1
text 1
that 12
the 40
their 3
them 1
then 2
they 2
this 3
threatens 1
time 1
to 45
tolerate 1
too 1
trade 1
transformation 1
transformed 1
traveling 1
treat 1
tricked 1
tries 1
truck 1
try 1
trying 1
undead 1
under 1
unwilling 1
up 2
valentine 11
vampire 2
wake 2
wants 1
was 6
water 1
way 2
were 1
when 1
where 4
which 5
while 4
who 4
whom 1
will 1
with 8
woman 1
wont 1
work 1
would 1
wounds 1
yet 1
