5425488
/m/0dlbgr
/m/0dlbgr
Helen Cresswell
1978
4yearold 1
a 5
activities 1
an 3
and 3
are 1
arrested 1
arry 1
as 4
at 1
attempt 1
awk 1
bagthorpes 1
bagthorpian 1
beating 1
better 1
bring 1
busy 1
but 3
caption 1
caribbean 1
chance 2
children 1
christmas 1
claimed 1
comes 1
competitions 1
contest 1
cousin 1
current 1
daisy 2
deliver 1
dishes 1
each 1
enter 1
entry 1
eventually 1
excel 1
face 1
fame 1
family 1
fates 1
for 1
form 1
fosdyke 1
friendentity 1
get 1
give 1
grandma 1
happiness 1
has 2
her 2
herself 1
his 1
history 1
household 1
immediately 1
in 4
invisible 1
is 2
items 1
its 1
itself 2
knees 1
manages 1
manic 1
mention 1
mrs 1
much 1
named 1
nature 1
neglected 1
not 1
obsession 1
of 3
on 1
only 1
other 1
others 1
oxtail 1
paint 1
parker 2
parkers 1
passed 1
powder 1
presents 1
prize 1
prizes 1
pyromania 1
reduced 1
repeat 1
rest 1
serving 1
similar 1
stay 1
style 1
such 2
the 11
time 1
to 10
trifle 1
trip 1
typical 1
uncle 2
unwanted 1
up 2
using 1
vacation 1
victory 1
water 1
when 1
win 1
with 1
won 1
wrapping 1
