3285543
/m/093cdp
/m/093cdp
Doris Lessing

{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 2
affair 1
all 1
although 1
among 1
an 2
and 10
anna 6
another 1
as 1
attempt 1
attention 1
based 1
before 1
being 1
bestselling 1
black 1
blue 1
book 2
characters 1
children 1
coloured 1
communist 1
creating 1
dreams 1
during 1
each 1
emotional 1
ending 1
engaging 1
episodes 1
excerpts 1
exhusbands 1
experience 2
famous 1
features 1
fifth 1
for 1
four 3
free 2
from 2
goldcolored 1
golden 1
her 5
in 4
insisted 1
inspired 1
interact 1
interspersed 1
intersperses 1
is 4
its 1
journal 1
keeps 1
lessing 1
life 2
lives 1
love 1
loversentitled 1
member 1
memories 1
molly 1
most 1
narrative 1
nonchronological 1
notebook 3
notebooks 2
novel 3
of 10
on 1
one 1
ongoing 1
ostensibly 1
overlapping 1
own 2
painful 1
party 1
pay 1
personal 1
play 1
postmodernistic 1
readers 2
realistic 1
record 1
records 1
red 1
returned 1
reviewers 1
rhodesia 1
room 1
sections 1
segments 1
serious 1
she 2
southern 1
space 1
story 1
styling 1
that 3
the 13
their 1
them 1
themes 1
this 1
tie 1
times 1
to 3
together 1
where 1
which 2
with 3
women 1
womenwith 1
writer 1
written 1
wulf 1
wwii 1
yellow 1
