1877328
/m/0631x8
/m/0631x8
Anne Rice
2001-10-16
50 1
a 51
abducted 1
about 2
accept 1
admiring 1
after 9
again 2
against 1
aid 1
akasha 8
all 5
allow 1
almost 2
also 3
although 1
amadeo 11
amateur 1
america 1
an 4
ancient 1
and 47
anger 1
angrily 1
another 1
answer 1
are 1
argue 1
argument 1
armand 3
around 2
arrives 1
art 1
as 10
asks 2
at 3
attack 1
attacked 3
attend 1
avicus 2
awakens 2
awakes 1
awaking 1
away 3
back 4
barbarians 1
bathes 1
be 9
became 1
because 1
become 2
becomes 2
bed 1
begins 1
being 2
believes 1
better 1
between 2
bianca 6
black 1
blade 1
block 1
blood 1
blooddrinkers 1
book 1
botticelli 1
boy 2
boys 1
briefly 1
brings 1
brothels 1
buries 1
burnt 1
but 14
by 12
calls 1
can 2
canal 1
cannot 1
capital 1
care 1
casts 1
cellar 1
century 1
certain 1
chamber 1
chapel 1
city 4
claims 1
close 1
collect 1
come 2
comes 2
companion 1
conflicts 1
conscience 1
considers 1
constantinople 2
continues 2
convince 1
corrupts 1
council 1
craftsmen 1
created 1
creates 1
crushes 1
culture 1
custody 1
danger 2
dark 1
day 3
de 1
death 1
deblut 1
decides 2
decision 1
declares 1
deed 2
descent 1
destroy 2
destroys 2
die 2
disappearing 1
discovers 3
disheartened 1
divine 3
do 1
does 8
doing 1
dominated 1
down 1
drags 1
dresden 1
drink 1
drinking 1
druidic 1
druids 2
due 1
during 2
dying 2
each 2
egypt 1
elects 1
embarks 1
empire 1
end 1
englishman 1
enkil 3
enmity 1
enough 1
entertainment 1
escapes 1
essangre 1
establishes 1
et 1
etc 1
eudoxia 3
europe 1
even 1
eventually 1
every 1
evil 2
evildoers 1
eyes 1
face 1
falls 2
far 1
fate 1
father 2
feels 1
female 1
fever 1
fights 1
filled 1
filthy 1
finally 1
find 2
fire 1
florence 1
for 16
force 1
formed 1
former 1
found 2
fourth 1
fraternizing 1
free 1
frequently 1
frle 1
from 14
frozen 1
furious 1
gallant 1
gift 3
give 1
given 1
gives 1
go 1
god 4
going 1
gold 2
gone 1
gradually 1
group 2
grove 2
grows 1
guitar 1
had 2
happily 2
harlech 3
have 3
having 1
he 36
hears 1
help 2
her 14
here 1
hideaway 1
him 17
himself 4
his 18
holding 1
home 1
horrors 1
hostage 2
house 6
hundreds 2
hunt 1
i 1
ice 1
idea 1
if 2
imprisoned 1
improve 1
in 19
indeed 1
information 2
informs 1
injured 1
inquires 1
inside 1
into 10
is 33
it 5
italy 2
itil 1
its 1
jumping 1
jungle 1
just 2
justice 1
keep 1
kept 9
kill 3
killed 2
killing 1
kills 1
know 2
known 1
large 1
late 1
later 2
latter 1
leader 1
leadership 1
leads 1
learning 1
learns 1
leave 3
leaves 1
leaving 1
lestat 5
let 1
letter 1
lies 2
life 6
listen 1
live 6
living 1
locked 1
long 1
looking 1
lor 1
lord 1
losing 1
love 3
loves 1
mael 4
maharet 4
make 1
making 1
males 1
man 1
manages 2
marius 47
may 1
meet 1
meeting 1
meets 4
mekare 2
met 1
mind 3
minds 1
mob 1
mortal 1
mortals 1
mother 2
move 2
moved 1
moves 1
moving 1
much 1
music 1
must 7
mute 1
name 1
named 3
near 1
needed 1
never 1
news 1
next 1
nonetheless 2
nordic 1
not 9
now 1
number 1
obsessed 1
occasionally 1
of 30
offer 1
offering 1
offers 1
often 1
old 1
older 1
on 5
one 2
only 1
or 2
order 3
oro 1
other 6
out 1
over 4
overheard 1
own 2
painter 1
painting 1
pandora 11
parents 3
pass 1
past 1
patrician 1
penance 1
place 2
playing 1
plkrew 1
poison 1
poisoned 1
pose 1
power 1
powerful 2
powers 1
practicing 1
praying 1
preparing 1
present 1
prevent 1
prey 1
progenitors 1
promises 1
prostitute 1
provides 1
pry 1
ptblood 1
purchases 1
put 1
raymond 1
realises 1
realizing 1
receive 1
recover 1
recovers 1
refuses 2
relationship 1
relents 1
religion 1
remain 1
renaissance 1
replacement 1
return 1
returns 1
rock 1
role 1
roman 2
romanus 1
rome 5
ruins 1
russia 1
sacked 1
sad 1
said 1
same 1
sang 1
santino 8
satan 1
satanworshiping 1
save 2
saves 1
scholars 1
secrets 2
see 2
seem 1
sees 1
sends 1
series 1
serving 1
set 1
several 1
severely 1
share 1
she 8
shelters 1
shifting 1
shocked 1
shrine 2
sin 1
sister 1
slave 1
sleeping 1
sleeps 1
slips 1
slumber 1
so 5
socialite 1
some 1
song 1
songs 1
soon 1
sorely 1
splits 1
stay 1
still 2
stop 1
stops 1
story 3
strength 2
strong 1
suddenly 1
suffer 1
supernatural 1
sustains 1
takes 2
taking 4
talamasca 1
teaches 1
television 1
tell 1
tells 1
tempted 1
than 1
that 15
the 61
their 4
them 5
themselves 1
then 5
there 5
these 1
they 10
things 1
thinking 1
this 7
thorne 4
those 7
though 1
threatens 1
through 1
time 5
to 59
together 1
told 1
too 3
took 1
traders 1
transformed 1
transforms 1
trapped 1
travel 1
traveling 1
travels 1
tree 2
tries 1
trip 1
try 2
trying 1
turning 1
turns 2
two 4
unable 1
und 1
under 1
underneath 1
university 1
up 3
vampire 16
vampirekind 1
vampires 6
vampiro 1
venice 3
violent 1
violin 1
visiting 1
waiting 1
wakes 1
want 4
wants 3
was 2
way 1
weak 2
weeks 1
were 1
what 1
when 5
where 7
which 1
who 21
whom 5
will 3
with 22
woman 2
works 1
world 4
would 1
wounded 1
wounds 1
y 1
years 6
young 3
zoto 1
