25675158
/m/09v1pwl
/m/09v1pwl
Jackie Collins

{"/m/02xlf": "Fiction"}
a 5
addicted 1
affair 1
all 2
although 1
an 1
and 8
annabelle 3
annabelles 1
as 1
assistant 1
attorney 1
back 2
beautiful 1
bedroom 1
best 1
beverly 2
billionaire 1
bitch 1
bobby 2
boyfriend 1
career 1
carolyn 3
carved 1
choice 1
club 1
cocaine 1
coming 1
connected 1
day 1
death 1
deceased 1
denver 3
devastating 1
dimitri 1
discerning 1
everyone 1
famous 1
find 1
five 1
for 2
found 1
frankie 2
friend 1
from 1
girl 1
greek 1
guy 1
has 1
haunt 1
have 2
having 1
he 2
henderson 1
her 3
herself 1
high 2
hills 1
hillsand 1
his 1
hot 1
hotshot 1
hottest 1
in 8
is 7
it 1
jones 1
kennedyesque 1
kept 1
la 1
little 1
lucky 1
madame 1
maestrodaughter 1
mansion 1
married 1
mega 1
men 1
mood 1
mother 1
movie 3
murder 1
new 2
of 8
on 1
one 1
out 2
own 1
owns 1
past 1
personal 1
poor 1
powerful 1
rich 1
santangelo 2
school 2
secrets 1
senator 1
she 1
shipping 1
shot 1
son 1
stanislopolous 2
star 1
stars 1
starshas 1
the 8
them 3
themselves 1
then 1
there 1
three 3
thrown 1
to 5
together 2
touch 1
twentysomething 2
two 2
very 1
washington 1
way 1
went 2
when 1
whom 1
with 4
women 1
working 1
york 2
