992864
/m/02p3dsr
/m/02p3dsr
William Gibson
1997-09-04
{"/m/01qpc": "Cyberpunk", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0c082": "Utopian and dystopian fiction"}
21st 1
a 22
about 1
accepts 1
accommodated 1
admits 1
after 2
agents 1
aging 1
ai 1
all 1
allowed 1
alone 1
amounts 1
an 3
and 24
announced 1
another 1
apparently 1
are 4
arrive 1
as 2
assembler 1
at 2
attempted 1
attempting 1
away 1
awry 1
back 1
based 1
be 4
became 1
been 1
behalf 1
being 3
believes 1
betraying 1
blackmail 1
blackwell 3
botched 1
both 1
boyfriend 2
breakup 1
brother 1
brought 1
but 3
by 11
carrying 1
century 1
changing 1
chapter 3
chia 11
chias 1
chosen 1
city 5
claimed 1
claiming 1
claims 1
club 5
clubs 1
colin 1
come 1
community 2
complicating 1
conflicted 1
conscience 1
construct 1
contraband 3
controller 1
converge 1
course 1
crew 1
current 1
customs 1
danger 1
data 1
datastreams 1
deal 1
death 1
decides 1
denizens 1
destroying 1
device 3
disappointed 1
disbelieving 1
discussing 1
distributed 1
dry 1
dupes 1
earlier 1
early 1
earthquake 1
eddie 4
embark 1
employees 1
employers 1
escape 1
event 1
events 3
evidence 1
evolution 1
exactly 1
exists 1
expose 1
exposing 2
fabrication 1
false 1
fan 2
feels 1
find 3
finds 1
flight 1
for 4
foreshadowing 1
found 1
fourteen 1
francisco 1
friend 1
from 5
further 1
gang 1
get 1
girl 1
giving 1
go 3
goes 1
going 1
group 2
hacker 1
had 2
happening 1
has 3
have 1
he 3
head 2
help 2
helped 1
her 9
here 1
herself 2
hide 1
hiding 1
high 1
highly 1
highspeed 1
him 2
his 11
home 1
host 1
hotel 3
however 1
human 1
idol 1
idoru 2
illegal 2
impending 1
impossible 1
in 14
indifference 1
inform 1
informed 1
infotainment 1
innocent 1
instead 1
into 6
investigate 1
involvement 2
is 23
it 1
item 1
japanese 1
job 2
kathy 1
keith 1
killed 1
kowloon 1
lamenting 1
laney 8
laneys 1
last 1
leader 1
left 2
letting 1
life 1
limit 1
link 1
local 1
longer 1
lorez 4
lorezs 1
love 2
loyal 1
luggage 2
made 1
mafia 2
making 1
manifests 1
manipulating 1
marriage 2
marry 1
maryalice 2
maryalices 2
masahiko 8
material 1
mckenzie 1
media 2
meet 1
meets 2
megarock 1
member 2
men 1
merely 1
mexico 1
might 1
mired 1
mitsukos 1
moment 1
most 1
much 1
mundane 1
musical 1
named 2
nanotech 2
nanotechnology 1
net 4
new 1
no 1
nodal 1
novel 1
observer 1
obtained 1
occur 1
occurring 1
of 27
old 1
on 7
one 1
onto 1
open 1
operation 1
order 1
organization 2
otaku 1
other 1
out 3
over 2
own 1
part 2
particular 1
particularly 1
parties 2
party 1
passive 1
past 1
peculiar 1
personal 1
personalities 1
personality 1
pet 1
physically 1
playing 1
points 1
position 1
possible 1
post 1
powerful 1
probable 1
prompts 1
protecting 1
pull 1
questioned 1
rapidly 2
realizes 1
really 1
recent 1
reclaim 1
record 1
referred 1
rei 3
relevance 1
resolution 1
responsible 1
rez 6
rezrei 1
rightfully 1
role 1
room 1
rosa 2
rumor 1
run 1
rushes 1
russian 2
sacrifice 1
same 1
save 1
scandal 1
scene 1
search 1
searchers 1
seattle 1
secret 1
secrets 1
security 1
seeking 1
seeks 1
seeming 1
sees 1
she 9
short 1
shows 1
sifting 1
simulation 1
simultaneously 1
sisters 1
slipped 1
slitscan 4
slitscans 1
smuggled 1
smuggling 1
snapped 1
someone 1
something 1
spying 1
staff 1
star 1
steps 1
stop 2
story 1
struck 1
suicide 2
support 1
synthetic 1
system 1
takes 1
talent 2
taxi 1
tells 1
terrible 1
that 10
the 59
their 4
them 2
therefore 1
they 3
thinks 2
this 4
though 1
thrives 1
through 3
throughout 1
title 1
to 35
toei 1
tokyo 5
tokyosan 1
topic 1
torrance 1
tried 1
tries 1
truth 1
try 1
turns 1
ultimate 1
unbelievable 1
unfortunately 1
unfounded 1
union 1
unknown 1
unwittingly 1
up 1
use 1
used 1
using 1
vast 1
venice 1
viewing 1
virtual 1
walled 4
want 1
wants 1
warily 1
was 1
watchdog 1
watched 1
wedding 1
what 2
whatever 1
when 3
where 1
whether 1
which 5
who 7
with 9
witnesses 1
woman 1
wont 1
world 1
year 1
yet 1
zona 2
