20113349
/m/04y91kr
/m/04y91kr
Enid Blyton
1948
{"/m/02n4kr": "Mystery", "/m/08sdrw": "Adventure novel"}
a 11
abandoned 1
about 2
absent 1
accidentally 1
adventure 1
along 1
although 1
and 16
andrews 3
anne 4
apparently 1
are 8
arrested 1
arrive 1
arrives 1
at 4
away 2
back 1
been 1
before 1
behind 2
boy 1
boys 3
but 3
by 2
called 1
camp 1
camping 2
captured 1
chasing 1
children 2
close 1
coming 1
criminals 1
day 1
days 1
delighted 1
dick 3
dog 1
equipment 1
expensive 1
explore 1
exploring 1
falls 1
famous 2
farm 7
few 1
find 6
finds 2
five 4
for 2
free 1
friends 1
from 3
george 3
girls 1
go 1
goes 1
had 1
has 1
have 1
he 1
hears 1
hiding 1
his 1
in 1
indeed 1
infuriated 1
insect 1
inside 2
into 1
is 5
jock 6
julian 3
labourers 1
leaving 1
led 1
left 1
leg 1
lives 1
lot 1
loving 1
luffy 3
make 1
meanwhile 1
meeting 1
men 1
minded 1
moor 2
moors 1
most 1
mother 1
mr 6
mysterious 1
named 1
next 3
nights 1
not 1
of 4
off 3
old 1
out 1
outside 1
over 1
owners 1
planning 1
police 1
prevent 1
properly 1
railway 2
realising 1
recaptured 1
rescues 1
return 1
run 1
runs 1
sam 1
school 1
secretly 1
set 1
several 1
shaft 1
she 1
site 1
smuggling 1
some 2
soon 1
spook 4
stay 1
stepfather 2
supplied 1
surprised 1
teacher 1
tell 1
tells 1
that 8
the 37
their 1
them 5
there 2
they 7
those 1
through 1
timothy 2
to 10
tracks 2
train 6
trains 3
travel 1
tries 1
try 1
tunnel 5
two 1
under 1
unused 1
used 1
vehicles 1
ventilation 1
visit 1
waits 1
warns 1
watch 1
watchman 1
way 1
when 3
while 3
who 2
with 7
woden 1
working 1
yard 2
