676751
/m/0322hl
/m/0322hl
Amy Tan
2001-02-19
a 21
ability 1
about 1
accident 1
acts 1
actually 2
adult 1
after 4
also 1
although 2
america 1
an 1
ancient 1
and 17
answers 1
approves 1
arrange 1
art 2
as 8
auntie 9
autobiography 1
away 1
back 1
be 3
because 1
becomes 2
behavior 2
being 1
believe 1
believed 1
believes 1
between 1
bones 2
bonesetter 1
book 1
books 1
both 1
boyfriend 1
brothers 1
burned 2
burning 1
but 2
by 4
called 2
can 2
caring 1
cave 2
changs 1
child 1
childhood 2
chinese 1
christian 1
coming 1
communicate 1
completes 1
criticized 1
curses 1
dangers 1
daughter 2
daughters 1
death 2
dementia 1
describes 1
describing 1
detail 1
details 1
devoted 1
dies 1
discovery 1
does 2
dory 1
dragon 1
during 1
early 1
edmund 1
education 1
edwin 1
end 1
entirely 1
entirety 1
erratic 1
even 1
expected 1
explaining 1
extreme 1
extremely 1
family 4
father 1
favor 1
few 1
fia 1
finally 1
first 1
for 3
forcing 1
fossil 1
fossilized 1
found 2
from 4
fu 2
further 1
gains 1
gaoling 3
ghost 1
ghostwriter 1
goes 1
going 1
growing 1
grows 1
had 2
harshly 1
having 1
heart 1
her 26
here 1
hidden 1
hit 1
however 1
husband 2
ignored 1
ii 1
illness 1
immigrate 1
immortal 1
in 7
information 1
injuries 1
ink 1
is 10
it 3
its 2
japanese 1
jing 1
job 1
juggle 1
kai 1
kamen 1
knowledge 1
knows 1
later 2
lead 1
learn 1
learns 1
lengths 1
letter 1
life 1
live 1
lives 2
living 1
local 2
location 1
long 1
longdead 1
longterm 1
loves 1
luling 20
makes 2
man 1
many 1
marriage 3
marries 1
marry 1
meanwhile 1
meets 1
messages 1
middle 1
might 1
mother 7
mute 1
nan 2
new 1
not 1
nursemaid 3
obey 1
of 12
often 2
old 1
oldest 1
on 1
once 1
only 2
opposes 1
orphanage 2
other 1
pair 1
pan 1
parent 1
past 1
peking 1
person 1
precious 9
previous 1
problems 1
produce 1
protect 1
raised 1
read 1
reasons 1
relationship 1
resents 1
resin 1
retains 1
reunited 1
revealed 2
rules 1
run 1
ruth 8
sand 1
second 1
section 1
seemingly 1
selfhelp 1
selfsufficient 1
sent 1
separately 1
she 11
showing 1
signs 1
single 1
sister 2
sisters 1
small 1
soldiers 1
son 1
speak 1
spirit 1
stepmother 1
story 4
strange 1
strict 1
struggles 3
students 1
sustained 1
swallowing 1
teacher 2
teenage 1
teenaged 1
that 6
the 22
their 1
them 1
they 2
this 1
thought 1
through 1
to 18
tray 1
two 3
unable 1
understand 1
understanding 1
unfold 1
up 3
valuable 1
village 1
violently 1
war 1
was 4
when 2
where 3
who 3
wish 1
with 4
within 1
woman 2
women 1
world 2
writes 1
writing 1
years 2
young 2
younger 1
