9389237
/m/0286xwy
/m/0286xwy
Jacqueline Wilson
1995
a 13
able 1
about 5
accounts 1
adaptation 1
after 3
agree 1
ahead 2
also 2
alternately 2
although 2
always 1
an 2
and 20
anyone 1
apart 1
apologize 1
apologizes 1
appears 1
are 3
around 1
article 1
as 7
at 2
audition 4
auditions 1
away 1
be 6
been 1
begin 1
behave 1
behind 1
being 2
betrayal 1
better 1
between 1
big 1
boarding 1
book 3
both 3
bully 1
but 2
calls 1
can 1
changes 1
clare 1
close 1
comes 1
confident 1
considered 1
content 1
couldnt 1
country 1
cutting 1
decides 1
deliver 1
despite 2
determined 1
died 1
differences 1
different 2
do 4
does 1
doing 1
dominate 1
dominating 1
dont 2
each 1
early 1
efforts 1
else 1
encourages 2
end 1
ends 1
enjoying 1
even 2
father 6
feel 3
feeling 1
feelings 1
filmed 1
find 1
finds 1
for 10
form 1
friend 2
friends 1
from 2
garnet 18
gets 1
girlfriend 1
girls 2
go 2
good 1
grandmother 2
hair 1
happy 1
have 4
he 1
heard 1
heights 1
helped 1
her 9
herself 1
hesitation 1
house 1
how 1
idea 2
identical 1
if 1
in 8
insists 1
into 1
introverted 1
is 16
isnt 1
it 4
job 1
just 1
keen 3
late 1
leads 1
leaves 1
leaving 2
let 3
letter 1
life 1
lifestyle 1
living 1
london 1
long 1
makes 1
making 2
marnock 1
meanwhile 1
memorandum 1
messing 1
missing 1
mother 2
movie 1
much 1
narrating 1
near 1
need 1
new 4
not 4
notepad 1
nothing 1
of 5
off 3
often 1
on 2
once 3
one 2
only 1
opal 1
opinions 1
other 1
ought 1
own 1
pair 1
pleasing 1
prestigious 1
previously 1
price 1
properly 1
proud 1
quickly 1
rather 1
realize 2
realizes 1
realizing 1
refuses 1
relationship 3
remember 1
revealed 1
rose 3
ruby 15
run 1
same 2
say 1
scholarship 1
scholarships 1
school 6
she 14
shouldnt 1
sign 1
since 1
sister 1
social 1
someone 1
something 2
sorry 1
st 1
stable 1
stand 1
start 1
starts 1
still 1
stop 1
story 1
sulks 1
summer 2
supportive 1
surprisingly 1
takes 1
talk 2
tenyearold 1
terrible 1
that 8
the 24
their 13
there 1
they 7
things 1
this 1
though 3
thrown 1
to 27
together 3
too 1
torn 1
turmoil 1
tv 2
twins 5
two 1
up 3
upset 1
very 1
wanders 1
wangle 1
was 2
well 1
when 1
where 1
which 1
while 3
who 1
whole 1
win 1
wishes 1
with 4
won 1
would 2
writes 2
