9144443
/m/027z95y
/m/027z95y
Francine Prose
2006
{"/m/05h83": "Non-fiction"}
a 11
about 3
act 1
action 1
actual 1
advice 2
after 1
also 2
although 1
an 2
and 14
answers 1
anton 1
are 5
argues 1
as 6
asked 1
at 1
audience 1
austen 1
barrage 1
be 7
begins 1
being 1
believes 2
best 1
book 2
books 2
break 1
building 1
but 5
by 4
can 8
caustic 1
certain 1
challenging 1
chapter 13
character 1
characterization 2
characters 5
chekhov 5
choice 1
clean 1
clichs 1
close 2
closely 1
concepts 1
concerned 2
concludes 1
considers 1
constitutes 1
construction 3
continuing 1
contradicting 1
conversations 1
convey 1
courage 1
crafted 1
creating 1
creative 1
description 3
details 2
determining 2
develop 2
dialogue 5
difficult 1
direction 2
discover 1
discussed 1
discusses 8
dispelling 1
disseminate 1
do 1
doesnt 1
down 1
eight 1
eleven 1
emotions 1
encourages 1
even 2
every 2
example 1
examples 7
excerpts 1
explains 1
factor 1
fan 1
far 1
fear 1
fears 1
fiction 2
fictional 1
find 1
firstperson 1
five 1
following 1
for 4
four 1
from 7
gardeners 1
general 1
genre 1
gestures 2
given 1
gives 2
go 1
grammar 1
grow 1
has 1
have 2
he 1
heinrich 1
help 2
helped 1
helpful 1
her 5
his 3
how 9
idea 1
ignores 1
illuminations 1
immediately 1
importance 1
important 2
impression 1
improve 2
in 10
includes 1
individual 1
instead 2
into 1
is 11
it 3
jane 1
judge 1
judgement 1
just 2
kleist 2
know 1
last 1
learn 1
learned 1
learning 1
leave 1
less 1
list 1
literature 4
long 1
made 1
many 2
marquise 1
mastering 1
material 1
may 2
memorable 1
mentions 2
metaphor 1
might 1
more 1
motivations 1
move 1
much 2
must 1
narration 1
narrative 2
need 1
nine 1
no 1
not 4
o 1
observer 1
obstacles 1
of 24
on 4
one 4
only 2
or 2
other 2
out 1
own 1
paragraph 2
paragraphs 1
path 1
performed 1
person 2
physical 3
pieces 1
point 1
pointofview 2
practiced 1
pressures 1
projects 1
prose 16
quality 1
question 3
rather 1
raw 1
read 4
reader 4
reading 7
reads 1
recently 1
recommendations 1
releases 1
reminds 1
resisting 1
reveal 1
revealing 1
rhythm 1
right 2
roses 2
rules 2
says 2
second 1
see 1
selections 1
sentence 6
sentences 3
seven 1
she 17
short 2
should 2
show 1
six 1
slow 1
so 1
solve 1
something 1
sounds 1
speech 1
spinning 1
state 1
states 1
stating 1
stepping 1
stop 2
stories 2
students 2
studied 1
successfully 1
suggest 1
suggesting 1
surface 1
taken 1
taught 1
teacher 1
teaches 1
tells 2
ten 1
than 2
that 13
the 46
their 5
them 1
themselves 1
then 1
there 1
third 1
this 4
those 1
three 1
time 1
to 16
told 1
too 2
transcends 1
trying 1
two 2
unbiased 1
underneath 1
until 1
up 1
us 1
use 1
used 3
using 2
variations 1
von 1
want 1
way 3
we 1
weeds 1
well 1
wellconstructed 2
what 3
when 2
whether 2
which 3
who 3
widely 1
will 1
with 2
without 1
word 4
words 4
works 1
workshops 1
world 1
worth 1
would 3
write 3
writer 10
writers 4
writing 9
