5490729
/m/0dp3m8
/m/0dp3m8
Timothy Conigrave


10 1
11 2
12 1
15 1
176 1
177 1
185 1
286 1
31 1
34john 1
34yep34 1
3holding 1
3pass 1
74 1
a 15
about 2
admitted 1
affair 1
afraid 1
after 1
against 2
aidsrelated 1
air 1
all 1
almost 1
an 3
and 21
angelo 1
anything 1
are 4
around 1
as 6
asks 1
at 8
attending 1
attention 1
australia 1
author 1
autumn 1
aware 1
away 3
bare 1
be 3
beautiful 1
became 1
because 1
before 2
began 1
begins 2
being 2
benefit 1
black 1
body 3
book 1
both 1
boy 1
boys 1
but 3
by 1
caleo 3
calm 1
came 1
cannot 1
captain 1
cares 1
caught 2
chiropractor 1
chocolatebrown 1
christmas 1
ci 1
college 2
comes 1
coming 1
conclusion 1
conigrave 4
conigrave3s 1
constraints 1
continued 1
continues 1
couldnt 1
cruel 1
crush 1
crushes 1
day 2
death 1
despite 1
detailing 1
deteriorate 1
devastating 1
develop 1
diagnosed 1
dies 1
dinner 1
disapproval 1
disease 1
dissolved 1
dont 1
enjoying 1
eventual 1
everything 1
experiment 1
experimentation 1
explores 1
exploring 1
eyebrows 1
eyelashes 1
eyes 2
face 4
fairfield 1
far 1
feeling 1
fell 1
felt 1
female 1
few 1
filled 1
final 1
finally 1
find 1
finishing 1
first 2
flesh 1
football 1
for 8
form 1
freaking 1
fresh 1
friends 2
friendship 1
from 2
gay 1
gentle 2
gently 1
genuinely 1
gesture 1
girls 1
go 1
graduate 1
greeted 1
guess 1
had 2
hair 1
hand 2
hands 1
happy 1
hardest 1
have 2
having 1
he 7
head 1
heart 1
helplessly 1
her 4
here 1
high 1
highs 1
him 5
his 22
hiv 2
hivaids 1
holding 1
hole 2
home 1
honesty 1
hospital 1
house 1
i 26
if 1
illness 1
im 1
in 14
infidelities 1
insight 1
intimacy 1
invited 1
is 10
it 5
its 2
jesuit 1
john 10
juliet 1
junior 1
just 2
kept 1
kiss 1
kiss3 1
kissed 2
kissing 2
knee 1
knew 2
know 2
kostka 1
laid 1
lassu 1
last 1
later 4
led 1
let 1
life 3
lift 1
lingered 1
lips 3
listening 1
looked 1
looking 1
looks 2
love 4
lover 1
lover3s 1
lows 1
lymphoma 1
man 2
man3 1
masculinity 1
me 2
me34 1
melbourne 2
men 2
mild 1
mine 2
misdirected 1
misery 1
miss 1
monash 1
month 1
most 1
motion 1
mouth 2
move 2
moves 1
much 1
my 7
nearly 1
need 1
nida 1
not 1
nothing 1
noticed 1
nursing 1
of 18
on 6
oncestrong 1
one 1
only 1
open 1
opened 1
opens 1
opposition 1
other 1
out 1
own 1
parental 1
partner 1
partnership 1
party 1
passages 1
passes 1
pepe 4
place 1
pockets 1
poignant 1
positive 1
preparatory 1
pressed 2
pretending 1
progression 1
pulled 1
pursed 1
rapidly 1
ravaged 1
reader 2
realisation 1
relationship 2
relatively 1
reply 1
rest 1
returned 3
rings 1
round 1
sacrificed 1
sadly 1
saw 1
school 3
sees 1
senior 1
separation 1
settled 1
several 1
sexually 1
shake 1
she 1
shortly 1
shut 1
side 2
sight 1
slow 1
small 1
smile 1
smiling 1
sneaking 1
so 2
softness 1
some 1
somehow 1
something 1
sparing 1
stayed 1
stop 1
story 2
strength 1
stroking 1
studying 1
such 1
suddenly 1
suffering 1
suggestion 1
sydney 3
symptoms 2
table 1
talking 1
team 1
temptations 1
terribly 1
tested 1
that 7
the 41
their 2
then 1
there 2
they 2
theyre 1
thing 1
think 1
this 1
three 1
tim 7
tim3s 2
time 2
timothy 1
to 18
together 1
tongue 1
tragically 1
transfixed 1
trapped 1
turned 1
two 2
ultimately 1
unambiguous 1
unbelievable 1
undetectable 1
university 1
until 1
up 1
vedremo 1
virgin 1
volcano 1
want 1
wanted 1
warm 1
was 13
wasnt 1
watches 1
weathered 1
weeks 1
went 1
what 2
when 2
whilst 1
will 1
with 12
within 1
worried 1
would 1
xavier 2
year 1
years 3
you 5
youthful 1
