890100
/m/03m3r6
/m/03m3r6
Henning Mankell
2002
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 13
aboard 1
about 1
accomplice 1
accounts 1
across 1
action 1
also 1
an 2
and 4
answer 1
are 1
around 1
as 1
at 1
atm 1
background 1
baltic 1
banking 1
banks 1
believe 1
big 2
bizarre 1
bring 1
bringing 1
but 1
by 1
caring 1
cause 1
committed 1
credit 1
criminal 1
criminals 1
crucial 1
cut 1
cybercrime 1
debt 1
deleting 1
detection 1
detective 1
dies 1
dilemma 1
discovery 1
driver 1
economic 1
elderly 1
engineer 1
ethically 1
fact 1
feature 1
ferry 1
financial 1
for 2
fragile 1
from 1
front 1
gruesome 1
have 1
he 1
here 1
idea 1
in 5
incidents 1
instead 1
intended 1
investigates 1
investigating 1
involves 1
is 6
issue 1
it 2
its 1
just 2
justified 1
key 1
knees 1
lives 1
major 2
makes 1
man 1
manages 1
mastermind 1
merely 1
miraculous 1
moment 1
money 1
multinational 1
murder 1
nationwide 1
neighbours 1
no 1
not 1
novel 1
now 1
of 9
old 1
on 1
one 1
order 1
our 1
out 1
panic 1
persuade 1
persuasive 1
picture 2
place 1
plan 1
plans 1
poverty 1
power 1
proximate 1
quantities 1
repeats 1
right 1
sacrifice 1
sea 1
series 1
should 1
shows 1
sinister 1
slaughter 1
so 1
specialist 1
substation 1
sweden 1
sweep 1
system 3
takes 1
talented 1
taxi 1
that 5
the 15
their 1
them 1
theme 1
there 1
third 1
this 1
times 1
to 5
two 1
uncovers 1
unwittingly 1
vast 1
versus 1
very 1
wallander 3
we 1
western 2
which 1
while 1
who 1
wipe 1
women 1
world 3
wrongs 1
yet 1
young 1
