3481418
/m/09ftc5
/m/09ftc5
Kenneth Bulmer
1965
a 6
abduction 1
accepting 1
agrees 1
also 1
alternate 2
an 3
and 10
another 2
apparent 1
archaeologist 1
are 2
army 1
as 1
at 2
back 1
bears 1
been 1
before 1
begin 1
believes 1
both 1
bulmer 1
buy 1
by 3
can 1
challenge 1
collector 1
corresponding 1
cousin 3
crane 1
deepens 1
dilettante 1
dimension 2
dimensions 1
disappeared 1
discovered 1
down 1
else 1
enormous 1
eye 1
family 1
fears 1
finally 1
find 1
follow 1
formerly 1
friend 1
full 1
go 1
gould 1
had 1
has 1
having 1
he 2
help 2
her 3
himself 1
hinted 1
his 2
holds 1
in 3
into 2
ireland 2
is 3
it 3
just 1
key 1
keys 1
later 1
learning 1
locating 1
man 3
map 8
middle 1
mysterious 1
mystery 1
novel 1
obsessed 1
of 6
offered 1
old 1
otherwise 1
place 3
polly 3
possession 1
price 1
reach 1
recovering 1
reluctantly 1
roland 5
same 1
search 1
seeks 1
series 1
she 1
similarities 1
sinister 1
sky 1
some 1
someone 1
soninlaw 1
soon 1
speaks 1
strange 2
tear 1
terror 1
that 3
the 17
their 1
them 1
thematic 1
there 1
they 4
this 2
though 1
to 9
torn 1
transported 2
trapped 1
travel 2
treasure 1
two 1
unrelated 1
used 1
vanished 1
visited 1
was 1
wealthy 1
when 2
who 2
with 1
witness 1
