17246888
/m/043nxzz
/m/043nxzz
Josh Neufeld

{"/m/012h24": "Comics"}
1 1
12 1
13 1
15 2
2 1
2005 1
2008 1
25 1
28 1
30 1
31 1
a 18
abandon 1
abandoned 2
about 2
ad 3
administering 1
after 4
ahead 1
aid 1
all 1
alone 1
also 1
an 1
and 38
andmichelle 1
angrily 1
another 1
any 1
apartment 3
approaching 1
are 3
armored 1
arrive 1
art 1
as 7
asthma 1
at 9
attend 1
august 4
avoids 1
await 1
aware 1
away 1
back 1
bahamas 1
batter 1
be 3
bed 1
bedroom 1
been 2
before 3
began 1
begins 1
being 1
biloxi 1
blinking 1
boat 1
bobbing 1
book 2
breached 1
brother 1
builds 1
bumpertobumper 1
burst 1
but 3
by 4
california 1
case 1
ceiling 1
center 6
changes 1
changing 1
chapter 1
chapters 3
characters 3
check 1
checkin 1
chesthigh 1
city 5
coast 1
comes 1
companion 1
completely 1
computer 1
concluded 1
concludes 1
convention 6
crushed 1
day 2
days 4
decide 1
deliver 1
denise 8
department 1
discover 1
discuss 1
dismayed 1
dividing 1
do 1
doctor 4
doctors 1
down 3
dropped 1
due 1
early 1
ecstatic 1
emerge 1
en 1
encompasses 1
epilogue 3
escape 1
escaped 1
evacuate 3
excitedly 1
exile 1
extensive 1
eye 1
face 1
fact 1
family 7
fast 1
fearful 1
feet 1
filled 1
final 2
finally 1
find 4
five 2
flooded 6
flooding 4
food 1
footage 1
for 3
force 1
formation 1
forsake 1
french 2
friends 1
from 9
full 2
get 1
god 1
goes 1
going 1
grandniece 1
gulf 1
half 1
hallway 1
hamid 9
hamids 1
has 1
have 2
having 2
he 3
health 1
helps 1
her 8
high 1
his 7
hits 1
holding 1
home 3
hospital 2
host 1
hours 1
houston 5
hunker 1
hurricane 9
in 25
include 1
includes 1
inexorably 1
instead 1
into 2
is 5
it 3
its 1
jump 1
just 1
katrina 5
kevin 6
lash 1
leading 1
learn 1
learns 2
leo 7
levees 2
lives 1
loaded 1
long 1
look 1
looters 1
maintenance 1
makes 3
mansell 8
material 1
meanwhile 2
meet 1
men 1
michelle 5
mississippi 1
mistake 1
momentarily 1
monday 1
monster 1
more 2
mother 1
move 1
moves 1
muchneeded 1
names 1
narrowly 1
needed 1
neighbor 1
neighborhood 1
new 7
next 1
niece 1
night 2
no 2
nola 1
odyssey 1
of 18
off 3
on 5
one 2
online 2
only 1
onto 1
or 1
orleans 7
other 2
out 3
outfit 1
over 1
overcrowding 1
party 2
passed 1
people 2
perspective 2
picking 2
pieces 1
plans 1
police 1
prekatrina 1
prepare 1
prewinds 1
private 1
probably 1
prologue 2
protagonists 1
quarter 2
rain 1
rather 1
readers 2
real 1
realizes 1
refrigerator 1
refuge 1
refugees 1
refusing 1
reluctant 1
repeatedly 1
rescue 1
return 1
returning 1
returns 1
revisions 1
ride 1
rifles 1
rising 1
roll 1
roof 1
room 1
rounds 1
route 1
run 1
safety 1
same 1
saturday 1
school 1
section 1
sections 2
sees 1
sends 1
sent 1
september 1
services 1
shaken 1
she 2
shed 1
shelter 1
should 2
shows 1
slams 1
some 2
soon 1
spend 2
spends 1
stand 1
still 1
store 4
storm 7
storms 1
story 4
stranded 1
sunday 1
sunlight 1
surrounded 1
survived 1
swat 1
swing 1
take 1
tallahassee 5
tells 1
than 2
that 4
the 82
their 4
themselves 2
then 2
there 3
they 4
things 1
this 1
thousands 1
three 1
through 1
thursday 1
time 3
to 25
took 1
total 1
toward 1
tracks 1
traffic 1
transport 1
trapped 2
tropical 1
tuesday 1
turned 1
two 2
twopart 1
up 4
van 1
vehicles 1
version 1
vital 1
wading 1
wake 1
was 1
water 4
waters 2
we 1
webcomic 1
wedged 1
wednesday 1
week 1
well 2
went 1
were 1
what 4
when 2
where 2
whether 1
while 1
who 1
wife 1
will 1
winds 1
with 6
without 1
wont 1
works 1
worse 1
year 2
yearslong 1
yet 1
younger 1
