1139804
/m/049r9p
/m/049r9p
Christopher Marlowe
1598

a 9
abandon 1
abydos 1
adonis 1
after 1
all 1
although 1
and 9
as 2
asks 1
at 2
attempts 1
be 1
beauty 1
being 1
bliss 1
body 1
bottom 1
bracelet 1
breaking 1
breaks 1
by 2
carries 1
cautiously 1
chastity 2
cities 1
complies 1
confuses 1
consensus 1
convinces 1
coy 1
critical 1
dawn 1
defend 1
deity 1
despite 1
devoted 1
devotee 1
discovering 1
door 1
drowning 1
each 1
ear 1
emerges 1
entreat 1
exists 1
falls 1
fears 1
festival 1
find 1
finds 1
finished 2
first 1
flatter 1
fort 1
from 3
ganymede 1
god 2
goddess 2
greek 1
had 1
halfhearted 1
has 1
have 2
he 4
hellespont 4
her 8
hero 5
high 1
him 6
his 2
honor 1
how 1
if 1
in 9
indeed 1
is 5
issue 1
it 1
keep 1
knocks 1
lamp 1
leander 6
legend 1
lets 1
light 1
lived 1
lives 2
living 1
love 3
made 1
marlowe 2
mistake 1
naked 1
narrow 1
neptune 1
night 2
no 1
northwestern 1
now 1
ocean 1
of 13
off 1
on 5
opens 1
opposite 2
or 2
overlooking 1
poem 3
priestess 1
promise 1
promises 1
protest 1
reciprocates 1
relates 1
returns 1
roman 1
safe 1
sea 1
seen 1
series 1
sestos 1
she 6
shore 1
side 1
sides 1
spotted 1
standing 1
stark 1
supposed 1
swear 1
swim 2
the 17
then 1
to 12
tower 2
turkey 1
venus 3
vow 1
water 2
what 1
which 1
whisper 1
who 2
window 1
with 4
would 2
yields 1
youth 1
youths 1
