1106189
/m/046h31
/m/046h31
Robertson Davies

{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 13
academic 1
actor 1
advisor 1
all 2
also 1
among 1
an 3
and 14
appeared 1
approach 1
arcs 1
are 1
arthur 6
artist 1
artistic 3
as 6
at 4
attempted 1
attends 1
attributed 1
be 2
becomes 1
behind 1
benefactor 1
between 2
beyond 1
blairlogie 1
board 1
bone 2
book 2
bred 2
brilliant 1
but 1
by 3
called 1
cana 2
candidate 1
century 2
characters 3
charged 1
child 1
choose 1
comfortable 1
comments 1
commonlaw 1
complete 1
completed 1
completion 1
composition 1
conclude 1
cornish 11
created 1
cuckold 1
dahlsoot 2
darcourt 5
davies 1
decide 2
deserve 1
discovery 1
distinguished 1
dysfunctional 1
early 1
effort 1
eighteenth 1
end 1
entitled 1
eta 1
examined 1
example 1
executors 2
exemplified 1
explores 2
fact 1
fathers 1
featuring 1
fictional 1
fifteenth 1
find 1
finish 1
flowering 1
follows 2
for 2
forces 1
forcing 1
foundation 2
francis 3
from 2
funding 1
further 1
generous 1
geraint 1
ghost 1
guenevere 1
gunilla 1
had 1
hand 1
happens 1
head 1
her 2
himself 1
hire 1
his 2
hithertounfinished 1
hoffman 1
hoffmann 1
hulda 2
in 13
including 1
inevitable 1
infidelity 1
into 1
involves 1
is 7
james 1
king 3
lancelot 1
leading 1
legend 1
libretto 1
life 2
limbo 1
lover 1
lyre 2
magnanimous 1
many 1
maria 4
marriage 2
minor 1
mocked 1
modern 1
monitor 1
mount 1
musicologist 1
must 1
necessary 1
nor 1
not 2
novels 1
number 1
of 33
often 1
on 2
only 1
ontario 2
opera 7
operatic 1
or 4
ordinary 1
orpheus 2
painter 1
painting 3
parallels 1
particular 1
peaceful 1
people 1
phd 2
planch 1
plot 1
plotline 1
portraits 1
powell 2
present 1
previously 1
proceedings 1
produce 1
production 3
projects 1
pursuit 1
qualify 1
queen 1
quest 2
react 1
record 1
relationship 2
relationships 1
research 1
response 1
result 1
routine 1
schnak 3
schnakenburg 2
second 1
seduction 2
serves 2
setting 1
sexual 1
simon 1
simple 1
staged 1
start 1
state 1
story 2
stratford 1
student 1
subject 1
swedish 1
tensions 1
test 1
that 6
the 59
theme 1
themes 1
themselves 2
then 1
they 3
this 2
through 1
to 17
toronto 1
town 1
trapped 1
triangle 1
trilogy 1
truth 1
two 1
uncover 1
under 1
unknown 1
unsatisfactory 1
upon 1
vindictive 1
was 2
way 1
wedding 2
what 3
which 2
while 1
who 4
will 2
with 1
withstand 1
work 3
world 1
write 1
writing 1
young 1
