22082383
/m/05_5n__
/m/05_5n__
Roland Smith
2007-09-25

100 1
a 15
able 2
about 1
accident 1
actually 1
after 2
against 1
all 1
amiable 1
an 2
and 22
apartment 1
are 4
arrival 1
as 3
at 6
attacks 1
australian 1
back 1
battle 1
baw 1
be 2
beaten 2
because 1
becomes 1
been 3
before 1
believes 1
bombing 1
breath 1
britain 1
british 3
brutal 1
bukong 1
burma 3
burmese 2
but 1
buy 1
by 6
camp 5
captain 2
capture 1
captured 1
catch 1
christmas 1
clear 1
closer 1
colonel 1
come 1
commander 1
conquest 1
corpses 1
couple 1
cracked 1
crazy 1
crippled 1
custody 1
daughter 1
day 7
days 1
death 2
decapitated 1
defenses 1
destroyed 1
disappeared 1
disguise 1
distracted 1
each 1
elderly 1
elephant 2
elephants 2
embarrassment 1
erected 1
escape 6
escaped 1
everyone 1
extent 1
faked 1
fall 1
family 1
father 4
festival 2
find 1
first 1
flag 1
for 4
foreman 1
forest 1
founded 1
freestone 3
freestones 1
from 4
get 1
gets 1
gillis 1
go 1
goods 1
greatgrandfather 1
grudge 1
guards 1
hannibal 2
has 2
have 1
hawk 5
he 8
hears 1
helps 1
hiding 1
hilltop 8
himself 1
his 11
hood 1
hostage 1
house 1
in 10
incident 1
indaw 6
infamous 1
inhabitants 1
initially 1
into 2
invade 1
is 12
island 1
its 1
jackson 2
japanese 9
josephs 1
keeps 1
know 1
koongyi 1
kya 2
language 1
later 3
left 1
lei 2
letter 2
lie 1
link 1
lives 1
long 1
mahout 1
mahouts 1
major 1
meets 1
monk 1
monks 1
months 1
mother 1
moto 1
much 1
mya 6
nagayoshi 1
named 1
nang 3
nearby 2
nest 5
newly 1
next 2
nicholas 1
nick 16
night 1
not 1
novice 1
of 12
officer 1
old 1
on 4
one 3
original 1
otherwise 1
out 1
over 1
overrun 1
passage 1
passages 1
people 1
planned 1
plantation 1
point 1
pows 1
predicting 1
prison 2
prisoners 2
progress 1
rangoon 1
recent 1
remains 1
returned 1
returning 1
returns 1
ribs 1
robin 1
routinely 1
rumor 2
said 1
saying 2
says 1
secret 2
sent 1
sergeant 3
servant 1
shows 2
singapore 1
sixty 1
soldier 1
soldiers 2
some 1
son 1
sonji 1
soon 2
sorts 1
sympathizer 1
taken 2
takes 1
taking 2
talk 1
talked 1
taung 1
tells 1
ten 1
that 5
the 40
their 2
themselves 2
then 1
there 3
they 4
thief 1
though 1
tiger 1
tigers 1
timber 1
time 1
to 21
transported 1
trapped 1
travelling 1
tunnel 1
two 1
under 1
unscathed 1
until 1
village 3
wants 1
war 1
was 8
were 2
when 3
where 1
which 2
while 3
who 6
whom 1
will 1
with 3
would 1
writes 1
years 2
