2843754
/m/086b3p
/m/086b3p
Carolyn Keene
1961
{"/m/02n4kr": "Mystery", "/m/0dwly": "Children's literature"}
a 8
action 1
after 1
again 2
along 1
an 1
and 6
arrested 1
as 2
at 1
aunt 1
author 1
been 1
bess 1
board 1
book 1
boyfriend 1
but 1
by 3
called 1
case 1
chance 1
che 3
chi 3
chinese 1
clues 2
decides 1
disguised 1
disguising 1
drew 1
elderly 1
eloise 1
employment 1
encounters 1
falling 1
fayne 1
finally 1
first 1
follows 2
foolishly 1
for 1
forces 1
friend 1
george 3
girl 1
girls 1
goes 1
granddaughter 1
haired 1
has 2
head 1
help 1
her 5
herself 1
hiding 1
hits 1
hong 1
ingenious 1
international 1
is 6
its 1
joins 1
kidnapped 2
knockedout 1
kong 1
lead 2
lipstick 1
locate 1
man 1
missing 2
missingperson 1
more 1
mr 1
mystery 1
nancy 9
ned 1
neighbor 1
new 1
nickerson 1
of 4
on 4
once 1
out 1
owner 1
place 1
plane 2
pursuing 1
quickly 1
red 1
rescue 1
ring 1
search 1
series 1
she 2
sidewalk 1
signal 1
smuggling 1
solve 1
soong 1
store 2
suspicious 1
take 1
the 13
then 1
thieves 1
to 7
unconscious 1
up 1
uses 1
utilizing 1
vase 1
visit 1
where 2
which 1
while 1
windows 1
york 1
