7640695
/m/0267kz2
/m/0267kz2
Judy Blundell

a 2
abandoning 1
about 2
again 1
agent 1
ago 1
anakin 1
and 3
apprentices 1
are 1
as 1
both 1
bring 1
but 1
can 1
comes 1
companions 1
cross 1
dark 1
darth 1
deadly 1
double 1
down 1
emperor 1
empire 1
enemy 1
esreturn 1
fall 1
ferus 4
go 1
has 1
have 1
he 2
his 5
hopes 1
in 1
is 3
it 1
jedi 3
kill 1
life 1
might 1
mind 1
new 1
not 1
now 2
of 3
old 1
olin 1
on 1
one 1
only 2
order 1
ordering 1
palpatine 1
paths 1
realize 1
rebellion 1
result 1
rise 1
rival 1
rivals 1
samaria 1
save 1
saved 1
side 1
skywalker 1
stands 1
survived 1
the 7
their 1
they 1
things 1
to 4
track 1
vader 1
way 1
were 2
when 2
who 3
wrong 1
years 1
