3871136
/m/0b48p5
/m/0b48p5
Bernard Cornwell
1982-05-10
{"/m/0hwxm": "Historical novel"}
a 22
abandon 1
abandoning 1
absence 1
after 1
afterwards 1
again 4
aide 1
all 2
allow 1
also 7
an 2
and 33
angered 1
antonia 3
apologizes 1
are 2
arm 1
armed 1
army 5
around 1
arrives 3
as 13
ashamed 1
asks 1
assault 3
at 5
attack 3
attacks 3
attempt 1
attempts 4
authority 1
available 1
baby 2
back 1
badajoz 3
bag 1
baggage 3
barrels 2
barrier 1
battle 2
bayonet 1
be 3
beats 1
been 2
before 2
begins 2
believes 1
birth 1
blames 1
blow 1
bought 1
bravely 1
bravery 3
breach 1
brilliant 1
british 2
brutally 1
but 9
by 11
cannon 2
captain 3
captaincy 1
cause 1
cheer 1
citizen 1
city 6
ciudad 1
climbs 1
closely 1
colonel 2
command 4
commander 3
company 12
compliments 1
cover 1
daughter 1
days 1
dead 1
decides 3
defeated 1
defend 1
defends 1
delay 1
demoted 2
deserts 1
destroy 2
destroyed 1
determined 1
detonated 1
devastated 2
digs 1
disarmed 1
discarded 1
discovers 2
displaying 1
does 2
doing 1
due 2
duke 1
during 2
encounters 1
end 1
enemy 2
enter 2
entered 1
enters 1
entire 1
escapes 1
essex 1
establish 1
ever 1
expected 1
explode 1
face 3
fact 1
failure 1
falls 1
few 2
fight 1
fights 1
find 1
finds 1
fire 3
fires 1
flogged 1
follow 1
for 4
former 1
fortifications 1
found 1
frame 1
framed 1
french 11
friend 2
from 3
furious 1
further 1
fuse 1
fusilier 1
get 2
gets 1
give 1
given 2
gives 1
gone 1
green 2
guard 1
guide 1
gun 2
hakeswill 21
harper 17
has 11
hates 1
have 1
he 17
heavy 1
her 4
him 16
himself 1
his 29
homes 1
house 2
humiliating 1
impressed 1
in 8
incompetence 1
informing 1
inside 1
interviewed 1
into 6
is 27
it 3
its 1
jackets 2
job 1
joins 1
kill 4
knowles 6
knows 1
later 3
lawford 3
lead 3
leads 2
leaping 1
leaves 1
led 1
leg 1
lets 1
lieutenant 2
light 5
likely 1
living 1
longer 1
looks 1
lose 1
loses 1
loss 1
lover 1
made 2
managed 1
meanwhile 3
members 1
men 5
mine 1
missing 1
mission 2
moment 1
money 1
more 1
moreno 1
mother 1
muskets 1
night 1
nights 1
nonregulation 1
northern 1
not 3
nothing 2
now 1
obadiah 1
of 18
off 1
old 1
on 6
once 3
only 3
ordered 2
orders 1
out 2
own 1
packs 1
picks 1
picture 3
pistol 1
plans 2
plunder 1
plundered 1
portrait 2
positions 1
post 2
powder 1
praises 1
pretending 1
private 1
promises 1
prompting 1
protect 3
puddle 1
rainfall 1
rape 1
rashness 1
reach 2
reaches 2
regiment 6
regiments 1
rejoins 1
releases 2
remove 1
replacement 1
restored 1
retires 1
return 1
returns 1
reunited 1
revenge 2
riflemen 4
rifles 2
robert 1
rodrigo 1
room 1
rymer 7
sale 1
searches 1
section 1
see 1
sends 2
sentry 1
sergeant 2
serve 1
sevenbarrelled 2
severely 1
sex 1
shako 1
sharpe 40
she 3
shoot 1
shoots 1
shot 2
shovel 1
siege 1
silver 1
situation 1
slashing 1
so 3
soldier 1
soon 1
south 1
spain 1
stable 2
stolen 1
story 1
strong 1
sword 1
taken 1
takes 2
talk 1
taunts 1
telling 1
temporarily 1
teresa 10
than 2
that 7
the 68
their 7
them 2
then 2
this 1
though 1
threatens 2
through 2
throwing 1
to 47
too 1
top 1
trenches 1
trouble 1
trying 1
unable 1
unfortunately 1
unknown 1
unless 2
up 3
upstairs 1
urine 1
using 1
usual 1
vacancies 1
various 1
vengeance 1
very 1
viewed 1
visit 1
vows 2
wall 3
way 1
weapon 1
well 2
wellington 2
when 7
where 1
which 2
while 2
who 2
whom 1
wife 3
will 3
william 1
windham 11
window 1
with 9
without 1
worse 1
wounded 1
wrist 1
