18633048
/m/04gkzwy
/m/04gkzwy
Brad Ferguson
1986-03
710 1
a 10
accidentally 1
against 1
alive 1
all 1
allout 1
among 1
an 4
and 10
annihilated 1
antimatter 4
any 1
apart 1
approaching 1
are 7
army 1
around 2
as 6
ask 1
assess 1
assumed 1
athens 1
atmosphere 1
attempts 1
attorney 1
banks 1
because 1
become 1
been 2
black 1
blanketed 1
bomb 1
bomber 1
bombs 1
buen 1
built 1
but 3
by 4
cabin 2
can 1
capital 1
captain 1
captured 1
carrying 1
centauran 1
centaurus 2
certain 1
cheap 1
cherishes 1
code 1
cogley 2
commander 1
communication 1
computer 4
computers 1
contacts 1
controls 1
correctly 1
court 1
creator 1
crewmembers 1
crippled 1
custody 1
daughter 1
dead 1
defense 2
despite 2
destroyed 1
determined 2
disable 1
doctor 1
donotapproach 1
drilling 1
drive 1
due 1
emergency 1
enabling 1
engages 1
engineer 1
enter 1
enterprise 4
epilogue 1
equally 1
fair 1
falling 1
farragut 2
federation 2
feelings 1
first 2
flitting 1
for 2
forced 1
forming 1
friends 1
from 2
garrovick 2
get 1
good 1
government 4
groundtoair 1
had 1
has 3
he 2
heavy 1
help 1
him 1
his 2
hit 1
hole 2
hovercars 1
hundreds 1
in 10
individuals 1
inoperable 1
involved 1
is 9
its 1
joanna 1
jurisdiction 1
kirk 5
known 1
leader 1
learns 1
leave 1
leveraging 1
little 1
lost 1
made 1
malfunction 3
map 1
massive 1
match 1
mccoy 1
medical 1
memory 1
millions 1
missiles 1
missing 1
montgomery 1
more 1
most 1
mr 1
names 1
need 1
new 1
no 2
not 1
odds 1
of 10
off 1
offer 1
on 6
one 1
orbit 2
other 1
own 1
part 1
party 1
patchwork 1
personal 2
personnel 1
phasers 1
place 1
planet 3
planetary 3
position 1
possible 1
preventing 1
quantum 1
radiation 1
radio 1
refuge 1
relatives 1
relief 2
represent 1
rescue 1
residual 1
retiro 1
reveals 1
river 1
samuel 1
scan 1
scott 1
search 1
secondincommand 1
secret 1
seeing 1
sent 1
set 2
ship 1
ships 2
situation 1
somewhere 1
speedoflight 1
spock 3
squad 1
standard 1
starship 1
static 1
straight 1
stun 1
subspace 1
succeed 1
suicide 1
sulu 1
surmises 1
surviving 1
synthesis 1
system 1
t 1
tachyon 1
take 1
taken 1
terrorist 2
terrorists 4
that 3
the 38
their 1
them 2
themselves 1
they 3
three 2
through 1
to 7
touch 1
traces 1
traditional 1
tragedy 1
transporter 1
trial 1
under 1
unexplainable 1
unheard 1
uss 1
valley 1
warning 1
warp 2
was 1
weapon 1
weapons 1
well 2
went 1
what 1
when 1
which 1
while 2
who 1
will 2
with 2
within 1
