9027995
/m/027v13w
/m/027v13w
Frédéric Bastiat
1850

a 27
abilities 1
able 1
abolishes 1
absolute 1
according 1
accordingly 1
achieve 1
acknowledgment 1
act 2
action 1
activity 2
activitybe 1
acts 1
administration 2
against 3
agents 1
agriculture 1
ah 1
air 1
alas 1
all 6
allege 1
alone 1
also 2
among 3
an 3
and 86
another 7
any 8
anything 1
application 1
applies 1
appointed 2
arbitrarily 2
arbitrary 1
are 17
areas 1
armed 1
arrived 1
artful 1
artificial 1
as 11
aspect 1
associate 1
association 1
assume 1
at 5
atheists 1
attempt 1
authorized 1
away 3
bad 1
based 1
battlefield 1
be 17
bear 1
bears 1
because 2
become 2
been 2
before 1
begun 1
being 5
believe 3
belong 1
bend 1
benefit 1
benefits 1
best 1
better 1
between 5
beyond 1
billaudvarennes 1
blame 1
born 1
both 1
brothers 2
but 4
buy 1
by 11
campaigns 1
can 4
candidate 1
cannot 7
cases 1
cause 1
cease 2
chains 1
changes 1
changethe 1
chaos 1
charity 3
child 3
children 2
choose 1
citizen 3
citizens 4
civil 1
claim 1
claims 1
classes 1
clay 3
clean 1
clearly 1
collection 2
collective 4
combination 2
come 1
commerce 1
committing 1
common 4
commonwealth 1
communism 1
competitive 1
condillac 1
confined 1
confiscate 1
conscience 1
consciences 1
consent 1
consequentially 1
consider 1
consists 1
constant 1
constantly 1
constituted 1
contrary 2
convert 1
cords 1
correlation 1
country 1
course 1
creating 2
creation 1
creator 2
creature 1
creatures 1
cried 1
crime 1
criminal 2
crowd 1
cunning 1
danger 1
dare 2
defend 4
defends 2
degradation 1
demand 1
depends 1
design 1
desire 1
desires 1
despite 1
destroy 2
develop 3
developing 1
did 1
different 2
dignity 1
direct 2
directly 1
disaster 1
discord 1
dispose 1
distinction 1
do 8
docilely 1
does 5
doing 1
domain 2
done 2
dont 1
down 1
draw 1
drive 1
driving 1
each 7
earlobes 1
economical 1
economy 1
education 10
effective 1
effort 1
either 3
electedah 1
eliminates 1
else 1
encouragement 1
end 2
endanger 1
endowed 1
enduring 1
entirely 1
entrusted 1
envision 1
equal 1
equality 3
equals 1
establishing 1
even 1
every 6
everyone 5
everything 1
exactly 1
exceeded 1
except 2
excludes 1
exercise 3
existed 1
existence 2
existing 1
expenditure 1
expense 3
experience 1
extend 3
eyes 1
facilitate 1
faculties 7
faculty 1
faith 1
false 2
falsehoods 1
fifth 1
finally 1
find 1
finer 1
first 1
flatten 1
follow 1
follows 2
for 24
force 20
forced 2
forcerationally 1
forces 2
forcescan 1
forceto 1
forcewhich 1
formalized 1
former 2
found 1
frail 1
france 1
fraud 1
free 5
freedom 1
freely 2
from 14
fulfilling 1
full 1
function 6
futilely 1
generate 1
gift 2
gifts 1
given 4
gives 1
god 9
good 1
govern 1
government 9
gratitude 1
great 1
greater 1
greed 2
group 1
grow 1
growth 1
guarantee 2
guidance 1
guide 1
had 1
happiness 2
harm 1
harming 1
harmoniously 1
has 16
hatred 1
have 7
he 13
hear 1
help 1
henceforth 1
him 1
himself 3
his 22
honor 2
hooks 2
how 3
however 1
human 5
humanity 4
i 5
idea 1
ideally 1
ideas 1
identified 1
ideological 1
if 3
illegal 1
immoralities 1
impartiality 1
impels 1
implementation 1
importance 1
improve 1
in 18
includes 1
increase 1
increases 1
indeed 1
indicates 1
individual 13
individuality 1
industry 1
inevitably 1
inflicted 1
influencesgreed 1
informed 1
infringe 2
inoffensive 1
inseparable 1
instead 1
instrument 1
intellectual 2
intellectuals 1
intelligent 1
interfering 1
into 3
intolerant 1
is 41
issues 1
it 27
itcauses 1
its 9
itself 3
judge 2
judges 1
just 2
justice 6
keep 1
kinds 1
know 2
labor 2
largely 1
latter 2
law 32
lawfully 3
lawfulnessis 1
lawthat 1
lawwhich 1
leaders 2
learn 1
least 1
legal 3
legislation 3
legislator 1
legislators 3
legislature 7
legs 1
let 1
liberals 1
liberties 2
liberty 22
life 6
lifephysical 1
like 1
limited 1
limits 3
little 1
logically 2
long 1
lose 1
love 1
made 1
magicians 1
maintain 1
make 2
makers 1
making 1
malcontent 1
man 2
mankind 7
manner 1
many 1
markets 1
marvelous 1
mature 1
may 6
mean 2
men 5
mere 1
midst 1
might 1
miserable 1
mission 1
moral 4
morality 2
more 9
most 3
must 2
napoleon 1
nation 5
nations 2
natural 6
naturally 1
nature 2
necessarily 2
necessary 2
needs 1
never 5
no 8
nonoppressive 1
nostrils 1
not 15
nothing 4
notion 1
now 2
object 2
objective 1
obliterate 1
observe 1
of 103
often 2
oh 1
on 1
once 2
one 6
oneself 1
only 5
opinions 1
oppression 2
or 14
organization 5
organize 2
organized 2
organizers 3
organs 2
other 11
others 6
ought 1
our 19
ourselves 3
over 1
owes 1
own 4
owner 1
parents 1
part 2
participate 1
passing 1
passionately 1
passiveness 1
pay 1
peace 2
peaceful 2
people 12
peoples 3
perfecting 1
perfume 1
permit 3
perpetual 1
person 8
persons 3
perversion 2
pervert 1
philanthropy 1
philanthropyuse 1
physical 3
pincers 1
pipe 1
places 1
plan 1
plans 1
plant 1
pleasures 1
plunder 7
plundered 1
plunderers 1
plunderlegal 1
police 1
political 4
possible 1
possibly 1
potter 1
power 2
powers 1
precede 1
preceded 1
prejudices 1
premise 1
preserving 1
pretexts 1
prevails 1
prevent 1
principle 2
prisons 1
problems 1
process 1
productionin 1
products 1
progress 1
propel 1
proper 5
properthat 1
property 11
propertyas 1
propertythese 1
proposition 1
prosperity 1
prosperous 3
protect 5
protecting 1
protection 1
provided 3
provides 1
public 1
punish 1
punishes 1
purpose 4
put 1
quacks 2
question 1
questions 1
quite 1
race 1
raise 1
rather 1
reason 3
rebelling 1
receive 1
received 1
recession 1
reform 2
regulate 2
regulation 1
reject 3
relationship 2
religion 1
remember 1
requires 4
resources 3
respect 1
responsibility 1
responsible 1
rest 1
result 1
returned 1
revolution 1
right 13
rightits 1
rights 7
rings 2
road 1
robespierre 1
rousseau 1
ruining 1
run 1
safe 1
safety 1
said 5
same 7
satisfaction 1
satisfy 1
savages 1
save 1
saviors 1
say 1
second 1
see 2
seek 1
selfdefense 2
selfdestructive 1
selfimprovement 1
selfish 1
sense 1
serfdom 1
service 1
shape 1
share 1
should 6
shoulders 1
simple 1
simply 1
since 5
skull 1
slant 1
slavery 1
small 1
smell 1
so 12
social 2
socialism 1
socialist 2
socialists 7
society 8
solely 1
solution 1
some 1
sometimes 1
soothsayers 1
source 1
speaking 1
speaks 1
spiritual 1
spread 1
stages 1
stand 1
state 3
states 1
stop 5
stretch 1
strive 1
strong 1
stupidity 1
submit 1
