8670629
/m/027dc54
/m/027dc54
Thomas Middleton

1 9
2 8
3 5
4 4
5 2
a 70
able 1
about 5
above 4
absence 1
abstinent 1
absurd 1
accept 1
accepts 1
accompanied 2
according 1
act 14
actually 3
addresses 1
adhered 1
adherence 1
admiral 2
admirer 1
admittance 1
advantage 1
advises 1
affirmative 2
afforded 1
afraid 1
after 2
again 1
agrees 5
ahead 1
all 4
allow 1
alone 3
aloud 1
already 1
also 1
although 1
an 11
and 57
andrugio 49
announce 1
announcing 1
another 2
answer 1
anxious 1
any 4
anything 1
apparently 1
appointed 1
appointment 1
are 6
arguing 2
argument 1
arms 2
arousing 1
arrest 1
arrested 1
arrests 1
arrival 1
art 1
as 21
aside 4
ask 1
asks 13
ass 1
assign 1
assistance 1
assumes 1
assuming 1
at 4
attention 1
attraction 1
aurelia 57
away 3
awkward 1
babbles 1
baby 1
back 1
bacon 1
baffled 2
balcony 4
banish 2
barely 1
bawdy 2
be 13
because 5
been 8
before 4
beg 1
begs 4
being 3
below 3
bit 2
blamed 1
board 1
bold 1
book 1
books 1
bottom 1
boy 2
breaking 1
bring 2
brought 2
brushes 1
bursts 1
busts 1
but 11
by 15
calling 1
calls 8
can 3
cannot 3
captain 7
captivity 1
cardinal 35
care 1
carries 1
case 1
castle 7
celebrating 2
celia 8
cell 1
chance 1
chances 2
cheer 1
children 1
choice 1
choose 1
cinquepace 5
city 1
clear 1
clothes 2
colorful 1
commendable 1
commends 1
communicate 1
company 6
competition 1
completely 2
complexities 1
confesses 1
console 1
constable 1
constancy 5
could 2
couple 1
crazy 2
criticizes 1
crying 1
cupid 3
curses 1
dance 4
dancing 4
daughter 1
dead 2
death 1
decided 1
decides 2
declaration 1
declares 1
delight 1
delivered 1
delivers 1
demands 1
demonstrate 1
departure 1
descends 1
desirable 1
desire 1
desires 1
did 1
died 2
discovered 2
disguise 1
disguised 8
disguises 1
disinherit 1
dismisses 1
distaste 1
distressed 1
do 1
docks 1
does 6
dondolo 20
door 1
down 2
dowry 1
dresses 1
drink 1
drop 1
dry 1
ducats 1
duchess 63
dump 1
education 1
elderly 1
embrace 1
encourage 1
encouraged 1
encourages 2
ends 1
enemies 1
enemy 1
enough 1
enter 1
enters 22
escapes 1
eschews 1
estate 1
even 1
ever 2
everything 1
example 1
exceedingly 1
excuse 1
exit 4
exits 10
exitsnow 1
exposed 1
extremely 4
face 1
fact 1
failed 1
fallen 4
falls 1
father 11
feigns 2
festivity 1
filled 1
finally 1
find 2
fingers 1
first 2
follow 2
fool 3
fooled 1
for 41
foreign 1
foreigner 1
forge 1
forget 1
forgive 1
former 4
fort 9
fortune 1
fortunetelling 1
free 1
freedoms 1
friend 1
from 7
fundamental 1
further 2
gained 1
gender 1
general 7
gentleman 8
get 5
girl 9
given 1
gives 5
go 4
gobbledygook 1
goes 2
gone 1
good 4
governor 10
great 2
greeted 1
greets 1
group 4
guard 4
guards 1
guest 1
guise 1
gypsies 5
gypsify 1
gypsy 27
had 2
hand 1
happily 1
happy 4
has 38
hates 1
hatred 1
haughtily 1
have 4
he 62
hear 1
heart 3
heir 1
held 1
help 1
her 56
here 2
herself 4
hidden 1
him 32
himself 2
his 36
home 2
honor 1
hoped 1
hopes 1
house 1
how 6
husband 3
husbands 1
hypocrisy 1
idea 1
if 10
immediately 2
impending 1
impressed 3
in 37
inability 1
incidents 1
include 1
includes 1
including 1
increasingly 2
infant 1
information 1
inherit 1
inner 1
innocence 1
innuendo 1
insists 4
instructs 3
intention 2
interest 1
into 6
introduces 2
invitation 1
is 52
it 6
jealous 1
join 1
jokes 1
joy 1
just 3
keep 2
kept 1
kill 1
kisses 1
know 2
knowledge 1
labor 1
lactantio 63
laments 1
language 5
leaps 1
learn 1
learned 1
leave 2
left 1
lessons 2
let 1
letter 11
lifestyle 3
like 3
live 1
liveand 1
locate 1
long 2
longer 4
look 1
looking 1
looks 1
lord 40
lords 7
love 15
lover 5
loves 3
made 1
madly 1
maintains 1
make 3
makes 5
male 1
man 7
manage 1
manservant 1
many 1
marks 1
marriage 1
marry 11
marrying 2
master 2
match 1
may 1
means 2
meanwhile 1
meditates 1
meet 2
men 1
mentions 2
midwife 1
might 2
milan 2
mistress 2
mistresses 1
money 2
more 2
mourning 2
much 1
music 4
must 4
name 4
nature 1
nephew 6
never 1
neverending 1
new 5
news 3
no 7
nobles 2
nonsense 1
not 17
note 1
notes 1
nothing 1
now 1
of 49
off 1
offense 1
offers 1
old 11
on 10
one 2
onejokes 1
only 3
opening 1
order 4
orders 3
other 1
out 2
outside 3
overcome 1
overjoyed 1
overwhelmed 1
page 29
paid 1
pains 1
palace 6
pale 1
palm 1
pants 1
pardon 1
part 1
pass 1
passes 1
passionate 1
pay 1
penis 1
perfection 2
performed 1
persuade 1
persuaded 1
pertinent 1
phony 2
picks 1
pious 1
pisskitch 1
plans 5
play 2
pleased 3
pleases 1
ply 1
pocket 1
points 1
posing 2
praises 4
pregnancy 2
pregnant 2
presented 1
press 1
prevent 1
prick 2
prison 3
prisoner 1
procession 3
proclaim 1
proclaims 1
produce 1
professes 1
promise 1
promised 2
promises 1
prospective 1
protestations 1
prove 2
provide 2
pull 1
punished 1
pursue 1
pushing 1
quarters 1
quibble 1
quickly 1
quite 1
rambling 1
rather 2
reacting 1
read 1
reading 1
reads 2
real 1
realizes 2
realizing 1
received 1
receiving 1
recent 1
recently 1
recognizes 1
reenters 1
regarding 1
rejection 1
rejects 2
relationship 2
relieved 1
reluctance 1
reluctantly 1
remained 1
remarks 1
remarry 2
remarrying 1
remember 1
renounce 1
replies 5
reply 1
reports 1
requests 1
rescue 2
rescued 1
residence 2
return 2
returned 1
reuniting 1
revenge 1
ridiculous 1
rome 1
ruin 1
ruined 1
ruse 2
rush 1
sad 1
sake 2
says 17
scene 15
scolds 2
scores 1
scornfully 1
searching 1
second 2
secret 1
secretly 3
see 1
seeming 1
seems 1
seen 1
sent 1
series 2
serious 2
seriousness 1
servant 1
servants 1
serves 1
servingwoman 1
set 1
seven 1
several 2
severe 1
sexual 1
she 56
ship 1
shirt 1
shocked 2
should 3
show 1
shows 1
shun 1
sight 1
sign 1
signs 2
sing 4
singing 3
sings 2
sitting 1
situation 2
skills 1
sleepwith 1
slip 1
sly 1
so 4
soften 1
soldier 1
soliloquizes 1
soliloquizing 1
some 5
song 5
soon 4
sort 1
sound 1
spank 1
speak 2
speaking 2
speech 2
spot 2
spy 1
stay 1
steal 1
still 3
stolen 1
story 1
strange 1
street 3
strength 1
strict 2
study 3
such 1
suggestion 1
suggests 1
supernatural 1
supervises 1
supposed 2
supposedly 2
surprised 1
suspicions 1
swears 3
take 1
takes 2
taking 2
teach 1
teacher 3
teaches 1
tears 2
tell 1
tells 23
temptation 1
ten 1
tested 3
testedshe 1
testshe 1
than 3
that 65
the 246
their 2
them 3
thereby 1
these 1
they 5
thievery 1
this 8
thoughts 1
thousand 1
threatens 1
through 2
time 7
to 119
tongue 1
too 3
totally 1
trap 2
trickery 1
tries 2
true 1
truly 3
trumpets 1
turned 1
two 1
unaware 1
uncle 5
understand 1
undesirable 1
uninterested 1
unless 1
up 3
upon 1
upset 2
urges 1
use 3
usher 1
very 3
victories 1
viol 1
vow 5
vows 2
wait 1
waiting 1
waits 1
want 1
warm 1
wary 1
was 3
way 2
wear 1
weeping 1
welcome 1
welcomes 1
were 1
what 1
whatsoever 1
when 1
where 5
which 1
while 2
whisper 1
who 5
whom 2
whomever 1
why 2
will 18
win 1
winged 1
wishes 1
with 23
without 2
woman 2
women 5
won 1
word 1
words 1
worried 1
worries 6
would 4
write 1
written 4
years 2
