441838
/m/028z8y
/m/028z8y
Donna Diamond
1977-10-21
a 15
aarons 1
able 1
accessible 1
accompanies 1
across 1
admires 1
adores 1
after 2
aka 1
alone 2
an 2
and 20
ann 1
antics 1
anything 1
are 3
area 2
arlington 1
art 1
as 6
asks 1
attempts 1
avery 1
back 2
be 1
become 1
been 1
belle 4
both 1
boy 1
breaks 1
brenda 1
bridge 3
build 1
bully 1
burke 2
by 2
can 1
caught 1
central 1
ceremony 1
child 1
children 3
christmas 1
close 1
consider 1
courage 1
court 1
create 1
creek 4
crisis 1
crush 1
cry 1
danger 1
day 1
dc 2
deal 1
decide 1
decides 1
declare 1
dog 1
down 1
drawing 2
drowns 1
due 2
during 1
edmunds 2
ellie 1
every 1
face 1
fallen 1
falls 1
family 1
fantasy 1
father 1
favors 1
fears 1
finds 1
finishes 1
five 1
for 3
friends 1
friendship 2
from 2
gallery 1
gift 1
given 1
gives 2
goes 2
going 1
good 1
grade 1
grief 2
griefstricken 1
had 2
has 1
have 1
he 7
head 1
hears 1
help 1
helps 1
her 5
him 1
his 11
homes 1
house 1
imaginary 1
in 8
injury 1
into 1
is 2
it 1
janice 1
jess 6
jesse 7
jester 1
joyce 1
king 1
kingdom 2
leave 1
leaving 1
left 1
leslie 11
little 1
lives 1
love 2
make 2
may 5
memorial 1
midst 1
miss 2
mother 1
moves 1
mr 1
mrs 1
music 1
name 1
names 1
national 1
near 1
new 1
occurs 1
of 12
on 1
only 4
or 1
out 1
over 3
overcome 1
pad 1
paint 1
parents 2
permitted 1
planks 1
porch 1
possibly 1
powerful 1
prince 2
princess 1
protector 1
pt 2
puppyish 1
queen 1
rainswollen 1
realworld 1
rescues 1
rope 2
royal 1
rural 1
same 1
say 1
school 1
second 1
secret 1
set 1
seventh 1
shares 2
she 3
short 1
sister 1
sisters 1
some 1
soon 2
southwest 1
spend 1
spends 1
stories 1
strength 1
such 1
swimmer 1
swing 1
swinging 1
take 1
takes 1
teacher 1
terabithia 7
terrien 1
that 3
the 20
their 4
themselves 1
there 1
therefore 1
they 5
this 1
though 1
thus 1
time 1
to 16
tree 1
trying 1
tube 1
two 1
use 1
virginia 2
washington 2
watercolors 1
wealthy 1
when 1
while 1
who 1
whom 1
with 7
wooden 1
woods 1
works 1
wreath 1
writers 1
young 1
youngest 1
