60129
/m/0gc8_
/m/0gc8_
Isaac Asimov
1954-06
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/014dfn": "Speculative fiction", "/m/02n4kr": "Mystery", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 8
about 1
adulter 1
advanced 1
advice 1
ambassador 1
an 3
and 4
antirobot 1
appreciation 1
are 1
argues 2
art 1
as 2
asimov 1
asimovian 1
aspect 1
attributed 1
avert 1
be 1
beauty 1
before 1
beginning 1
being 1
between 1
blaster 1
book 2
by 1
calculating 1
campbell 1
can 2
captured 1
central 1
charges 1
chest 1
city 1
commissioner 1
companions 1
concepts 1
concluding 1
confronting 1
contrast 1
conversion 1
convince 1
crime 1
daneel 4
deficient 1
desirable 1
destruction 1
detective 1
diplomatic 1
discovered 1
earth 2
elijah 5
energy 1
even 1
evil 2
exhibits 1
expressible 1
fears 1
finding 1
for 2
go 1
god 1
good 1
government 1
has 2
have 1
he 5
highly 1
his 4
home 1
human 4
humankind 1
humanoid 1
identical 1
imploded 1
in 4
incident 1
inherently 1
inquire 1
interesting 1
interstellar 1
into 1
is 6
its 1
john 1
just 1
late 1
leniently 1
less 1
like 1
lives 1
loosen 1
low 1
machines 1
many 1
mathematics 1
mechanical 1
medievalist 1
morality 1
more 1
morning 1
murder 1
murderer 4
must 1
named 1
nature 1
nemmenuh 1
nevertheless 1
new 2
no 2
novel 1
now 1
of 7
olivaw 1
one 2
only 1
opens 1
opinion 1
or 1
outpost 1
outside 2
overcome 1
own 1
partner 1
pericope 1
place 1
police 1
possible 1
precisionengineered 1
quoting 1
r 2
realizes 1
residents 1
restrictions 1
robot 3
robots 4
roj 1
sarton 1
scene 1
search 1
sense 1
sin 1
some 1
spacer 3
spacetown 1
squeamishness 1
story 1
takes 1
telling 1
tells 1
than 1
that 4
the 19
they 2
this 1
though 1
time 1
to 6
together 1
trademark 1
treated 1
tried 1
try 1
understand 1
uses 1
visually 1
when 1
which 2
who 2
will 1
with 2
work 1
york 2
