8781088
/m/027jhr9
/m/027jhr9
Beverly Cleary
1999
15yearold 1
a 6
able 1
about 1
actually 1
adjusts 1
against 1
along 1
always 1
and 7
are 1
around 1
as 2
asked 1
at 5
attitude 1
baby 1
be 2
become 1
beezus 2
beginning 1
begins 1
being 1
best 1
big 1
birthday 1
both 1
boys 1
breaks 1
by 1
changing 1
class 1
continues 1
daisy 1
daughters 1
defends 1
difficult 1
discovers 1
dispute 1
do 1
each 1
else 1
entering 1
everyone 1
feel 1
feels 1
finally 1
first 1
for 3
forgotten 1
fourth 1
french 1
friends 1
from 1
frustrated 2
fussing 1
get 1
girlfriend 1
grade 1
has 1
have 2
her 10
high 1
home 1
house 1
in 2
insistence 1
invites 1
is 3
just 1
kidd 1
kindergarten 1
like 1
likes 1
little 1
lot 1
mad 1
making 1
meacham 1
mother 1
mr 1
mrs 2
nemesis 1
new 1
now 1
of 3
on 1
other 1
out 2
over 1
parents 3
park 1
party 2
perfect 1
phone 1
point 1
proper 1
pushes 1
quimby 2
ramona 9
reluctantly 1
rivalry 1
roberta 2
school 2
see 1
sets 1
she 5
showing 1
silly 1
since 1
sister 2
someone 1
sorry 1
speaking 1
spellers 1
spending 1
starts 1
stick 1
student 1
subject 1
susan 5
talking 1
teacher 1
teaching 1
teenth 1
tenth 1
that 1
the 5
their 1
there 1
things 2
time 2
tiny 1
to 8
tongue 1
turns 1
view 1
which 1
who 1
with 3
world 1
zero 1
