1144904
/m/04b4nn
/m/04b4nn
James Luceno

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
2 1
33 1
a 6
abilities 1
access 1
actions 1
activities 1
acts 1
advice 1
after 1
against 1
all 3
allow 1
allowed 1
almost 1
along 1
an 2
and 16
any 1
appearance 1
are 2
argente 1
art 1
as 3
assailed 1
assassinate 1
assassins 1
at 4
attack 2
battle 1
be 2
been 1
begins 1
best 1
beyond 1
blockade 1
business 1
but 2
by 2
captain 2
carry 1
center 1
chancellor 2
chapter 2
characters 1
civilized 1
cloak 1
clones 2
cohl 2
colleagues 1
concept 1
considers 1
corruption 1
coruscant 1
council 1
crawl 1
crumbling 1
darth 1
debate 1
deception 1
defenses 1
demand 1
demands 1
disrupt 1
dominates 1
down 1
drafts 1
droid 1
droids 1
end 3
episode 1
especially 1
even 2
events 1
exchange 1
extreme 1
federation 8
fighters 1
finds 1
finis 1
first 1
for 2
from 3
front 2
galactic 2
gargantuan 1
generations 1
granted 1
greed 1
group 1
have 1
he 2
held 1
hire 1
his 2
hold 2
hope 1
hot 1
however 1
hyperlanes 1
ii 1
in 7
including 1
incorrectly 1
increase 1
is 5
it 1
its 1
itself 1
james 1
jedi 3
jinn 1
justice 1
kenobi 1
knights 1
life 1
long 1
lord 1
luceno 1
manipulates 1
matter 1
means 1
measures 1
menace 1
mettle 1
missing 1
more 1
motion 1
naboo 1
named 1
nebula 2
necessary 1
neimoidians 1
new 1
novel 1
now 1
number 1
obiwan 2
of 18
on 4
opening 1
organizations 1
other 2
out 1
outlying 1
palpatine 2
parts 1
passel 1
peace 2
petitions 1
phantom 1
pirates 1
plans 2
politically 1
position 1
practices 1
preserving 1
prevent 1
preyed 1
prior 1
protesting 1
put 1
quarters 1
quigon 2
raiders 1
real 1
remedy 1
republic 4
resort 1
riddle 1
routes 1
scheduled 1
screenplay 1
senate 3
separatists 1
sets 1
sidious 1
sith 1
slowly 1
some 1
space 1
sparks 1
star 1
step 1
strive 1
such 1
summit 2
supreme 2
systems 1
t 1
taking 1
tax 1
taxation 1
techno 1
terrorist 2
terrorists 2
tests 1
than 1
that 2
the 49
their 3
them 1
they 3
this 2
those 1
thought 1
thousand 1
threatens 1
thwart 1
time 1
to 16
togethernone 1
track 1
trade 7
trail 1
tyrannical 1
union 1
upon 1
valorum 4
vessels 1
victimized 1
wars 1
was 2
while 1
who 3
will 1
with 2
word 2
wouldbe 1
writing 1
written 1
