31342615
/m/0gkz7t7
/m/0gkz7t7
Maya Angelou
1986
{"/m/0xdf": "Autobiography"}
162 1
163 1
164 1
165 1
a 26
about 1
accept 2
accepts 1
accident 2
accra 1
actor 1
adult 1
africa 4
african 2
africanamerican 1
africanamericans 1
africans 2
after 3
airport 2
all 2
allies 1
allows 1
also 1
although 1
america 2
american 2
an 1
ana 1
ancestors 2
and 30
angelou 12
anger 1
appearance 1
are 1
arkansas 1
arrive 1
as 7
associates 1
at 2
autobiographies 1
autobiography 1
automobile 1
autonomy 1
bailey 1
bambara 1
based 1
become 1
becomes 4
begins 1
behavior 1
berlin 2
between 1
bitterness 2
black 1
blacks 1
bois 2
book 2
both 1
boy 1
breakfast 1
brew 1
brother 1
brown 1
but 1
by 4
cairo 1
california 1
calls 2
center 1
chastises 1
children 1
choices 2
cicely 1
civil 1
close 1
come 1
commemorate 1
company 2
conflicts 1
confronted 1
connects 1
consciously 1
convalescence 1
coordinate 1
creates 1
cry 1
customs 1
dating 1
days 1
decides 1
decision 1
deep 1
demonstration 2
departure 2
depiction 1
depression 1
described 1
describes 2
died 1
director 1
discover 1
disillusioned 1
do 1
done 2
driving 1
du 2
during 1
earl 1
eastern 1
efforts 1
efua 1
elicit 1
encourages 1
ends 2
enroll 1
especially 1
evening 1
expatriates 1
experiences 1
falls 1
family 2
farewell 1
female 1
few 2
finds 1
for 6
forced 2
four 1
freedoms 1
french 1
friend 1
friends 3
friendships 1
from 5
full 1
genet 1
german 1
ghana 8
ghanaian 1
god 1
gossett 1
graham 1
group 2
guy 9
had 2
has 1
have 1
he 6
heart 3
help 1
helping 1
helps 1
her 36
herself 1
him 4
hire 1
his 12
housework 1
identifies 1
in 13
include 1
including 2
independence 1
insists 1
interrupted 1
introduces 1
invitation 1
involving 1
is 7
its 1
james 1
jean 1
job 1
join 1
jones 1
journey 2
jr 2
julian 1
king 2
knew 1
kojo 2
kwame 1
kwesi 1
lack 1
later 1
leader 1
leaders 1
learns 1
leaves 1
lee 1
life 1
like 2
little 1
livia 1
long 1
lou 1
love 1
luther 1
making 1
malcolm 2
male 1
man 1
march 1
martin 1
maternal 1
mayfield 2
member 1
mother 3
movement 1
named 1
nana 1
narrative 1
national 1
native 1
need 1
new 3
nketsia 1
nkrumah 1
nonviolent 1
occurs 1
of 27
older 1
on 1
one 2
organizing 1
out 1
pages 1
pain 1
parallel 1
parent 1
part 1
patronizes 1
people 2
play 1
plays 1
poet 1
present 1
president 1
previous 4
proposes 1
prospects 1
queen 1
racist 1
reacts 1
recovery 1
rejected 1
relationships 1
reluctantly 1
remain 1
remind 1
reminds 1
respects 1
return 2
returnees 1
revival 1
revolutionist 1
rights 1
role 1
romantic 1
roommates 2
roscoe 1
schoolwork 1
second 1
separation 1
serious 1
serves 1
several 1
share 1
she 21
shirley 1
shoes 3
similarities 1
sisterfriend 1
slavery 1
solely 1
son 3
spending 1
stops 1
strategies 1
strengthens 1
strike 1
struggles 1
substitute 1
support 2
supporter 1
surrounding 1
sutherland 2
than 1
thanks 1
that 2
the 27
theatre 1
theatrical 1
them 1
they 3
those 1
threatens 1
three 1
through 3
ties 1
to 18
tours 1
traditions 1
traveling 4
travels 1
tribal 1
tribe 1
tribute 1
two 1
tyson 1
university 2
upon 2
venice 1
village 1
villages 1
visits 1
washington 1
wealthy 1
web 1
welcoming 1
west 2
when 2
which 3
while 3
white 1
who 7
whom 1
wife 3
wish 1
with 18
within 1
woman 5
world 1
writer 2
x 2
years 2
york 1
