1259054
/m/04mxcp
/m/04mxcp
Andrzej Sapkowski
1994
a 8
aided 2
allies 1
almost 1
also 2
and 9
around 1
as 1
attacks 1
bard 1
because 2
become 1
begin 1
blood 2
both 1
bound 1
burning 1
but 1
by 4
calanthe 1
called 1
cannot 1
capital 1
cintra 3
ciri 4
cirilla 1
city 1
commits 1
cub 1
dandilion 1
destiny 1
either 1
elven 1
emhyr 1
emperor 1
empire 1
emreis 1
everybody 1
famous 1
find 1
flees 1
for 2
from 1
genetically 1
geralt 2
girl 2
granddaughter 1
great 1
has 1
he 1
her 9
hire 1
his 1
hunting 1
importance 1
in 1
including 1
influential 1
is 3
kill 1
kingdom 1
knows 1
learns 2
lion 1
magic 1
magical 1
magically 1
man 2
monster 1
mutated 1
mysterious 1
named 2
nilfgaard 2
not 1
of 11
only 1
or 2
others 2
overwhelms 1
potential 1
power 2
powerful 2
protected 1
queen 1
quickly 1
realise 1
relentlessly 1
rience 1
rivia 1
royal 1
sends 1
several 1
she 1
slayer 1
so 1
some 1
somehow 1
sorceress 1
spies 1
such 1
suicide 1
that 4
the 6
this 1
those 1
to 3
use 1
user 1
var 1
veins 1
ways 1
who 1
whose 1
wielded 1
wishes 1
witcher 2
with 1
yennefer 1
young 1
