6281739
/m/0f_d2z
/m/0f_d2z
Fletcher Pratt

a 16
ability 1
about 1
acting 1
actually 1
again 3
allows 1
also 2
alternate 1
an 4
and 13
another 2
apollonius 1
appeared 1
appearing 1
appears 1
archaeologist 3
archaeologists 1
are 2
ariminian 1
arthur 2
as 6
assyrian 2
astrologyguided 1
at 2
attain 1
attempts 1
awakens 1
basis 1
be 2
bearer 1
bears 1
begging 1
being 2
beneath 1
brainwashed 1
bring 1
bullyboys 1
but 2
by 3
cappadocia 1
carnelian 3
cast 1
caught 1
certainly 1
chaos 1
claims 1
classed 1
cleveland 1
climbing 1
colonel 1
compared 1
conditioning 1
confiscated 1
congenial 1
conventions 1
could 1
counterpart 3
cube 4
current 1
defensive 1
denizens 1
determines 1
developed 1
die 1
differences 1
dig 1
directions 1
dirty 1
discovers 1
do 3
dominate 1
drafting 1
dream 3
dreaming 1
dreams 2
due 1
eastern 1
egocentrics 1
ends 1
enemies 1
entirely 2
escape 3
escaping 1
esp 1
etruscan 1
events 1
eventually 1
ever 1
execution 2
exemplifying 1
existence 3
extends 1
extreme 1
faces 1
fantastic 1
fantasy 1
few 1
fight 1
finch 13
find 1
finds 4
first 1
fitzhugh 1
for 3
from 5
frustrated 1
furtherance 1
given 1
had 1
has 2
have 1
he 7
head 1
him 4
himself 5
hiring 1
his 11
history 1
home 1
hoping 1
hot 1
however 2
ideal 1
identify 1
in 14
indeed 1
individualism 1
individualist 1
initially 2
inscription 1
into 3
irrationality 1
is 8
it 4
its 3
kentucky 1
kentuckys 1
kill 1
king 2
knowledge 1
last 2
later 1
leaving 1
lee 1
like 2
local 2
locale 1
louisville 1
lowclassified 1
made 1
magically 1
makes 1
making 1
means 1
mediumprovided 1
megalomaniacal 1
mere 1
michael 1
middle 1
missed 1
more 2
much 1
name 1
names 1
naming 1
native 1
near 1
neither 1
new 3
no 2
not 2
note 1
novel 1
numbers 1
obtains 1
obvious 1
occupation 2
of 22
on 3
once 2
one 4
only 2
openended 1
opportunity 1
or 4
order 1
ordered 1
organized 1
original 2
originality 1
others 1
out 2
overliteralised 1
parallel 3
participants 1
past 3
patron 1
patronclient 1
pattern 1
people 2
perks 1
physical 1
pillow 1
place 2
plot 1
poet 3
poets 1
politician 1
population 1
portraying 1
possessor 2
possible 1
project 1
projected 1
properties 1
protagonist 1
providing 1
psychological 1
purloin 1
quickly 1
radically 1
raise 1
rampant 1
rather 1
rational 4
real 2
realize 1
really 1
reconstruct 1
reconstructing 1
recounted 1
recreation 1
red 1
reenact 1
reenactment 1
reenactor 1
regain 1
regimentation 1
request 1
richard 1
samaria 1
sargon 2
scientific 1
second 2
selfinterest 1
sequel 2
sets 1
share 1
siege 1
sleeping 1
small 1
social 1
society 1
solely 1
spirit 1
spirits 1
starts 1
stone 5
strict 1
successful 1
such 1
sullivan 1
supervising 1
supposedly 1
surname 1
tend 2
than 1
that 2
the 40
their 2
third 1
this 5
time 1
tiridat 3
title 1
to 17
told 1
too 2
touchy 1
trip 1
true 1
truly 1
turns 1
tyana 1
uneasily 1
unfortunately 1
up 1
usurping 1
vanity 1
vast 1
version 2
violence 1
visited 1
what 1
which 4
while 2
who 1
with 7
work 1
workers 1
world 14
worlds 2
yearns 1
yet 2
