31008263
/m/0gg74q5
/m/0gg74q5

2010-08
{"/m/0hwxm": "Historical novel"}
1777 1
17th 2
accurately 1
american 1
army 1
as 4
at 3
battle 1
bayonet 1
becomes 1
bent 1
brigade 1
british 1
by 2
campaigns 1
charge 1
charles 1
climaxes 1
colonel 1
colonies 1
company 1
destruction 1
each 1
enemies 1
enlist 1
enlists 1
famous 1
finds 1
following 1
foot 1
general 1
george 1
hell 1
in 2
into 1
is 1
itself 1
january 1
lt 1
made 1
matthias 1
mawhoods 1
men 1
much 1
nemesis 1
novel 1
odds 2
of 4
own 1
princeton 1
ranks 1
regiment 2
seems 1
sergeant 1
seven 1
skinner 1
snow 1
surrounded 1
the 10
their 3
those 1
together 1
upon 1
washington 1
who 1
with 3
