30774799
/m/0gk_h4d
/m/0gk_h4d


{"/m/02n4kr": "Mystery"}
a 8
aboard 1
about 2
adventure 1
after 1
aka 1
allows 1
although 1
an 1
and 15
answer 1
are 1
as 3
ascot 1
at 1
bags 1
bay 2
be 3
been 2
being 1
best 1
billy 1
bitter 1
boarding 1
boat 2
body 1
but 1
by 1
can 1
canteen 1
capsizing 1
cast 1
catch 1
caused 1
characters 1
chased 1
city 1
class 2
closely 1
comedian 1
coming 1
cruise 1
dead 1
delays 1
den 1
devane 1
develop 1
disappearance 1
disaprancj 1
does 1
door 1
effort 1
ended 1
ends 1
entertain 1
fate 1
final 1
finally 1
find 1
finds 1
floating 2
for 5
found 1
francisco 2
friend 1
friends 1
from 1
gilda 1
girl 1
going 2
had 1
happened 2
has 1
have 1
head 1
her 4
his 3
hit 1
hollywoods 1
hoping 1
how 1
however 1
if 1
in 7
information 2
into 1
irena 2
is 4
island 3
islands 1
jack 4
jackand 1
james 1
jane 2
janes 1
kay 1
know 1
lends 1
line 1
luxurious 1
main 1
mates 1
meet 3
might 2
military 1
mishap 1
mission 2
mother 1
murdered 1
mysterious 2
mystery 2
named 2
navy 2
new 4
none 1
not 3
now 1
of 6
old 1
on 4
once 2
other 1
out 2
own 1
pacific 2
pack 1
paul 1
peaches 1
performing 1
plus 1
police 1
prior 1
providing 1
related 1
rest 1
rosie 10
san 2
search 1
see 2
she 1
ship 2
shows 2
shy 1
singer 1
so 1
some 2
south 1
squeeze 1
stage 1
star 2
start 1
takes 1
than 1
that 4
the 25
their 4
they 5
think 1
this 2
through 1
time 2
to 13
tour 1
trip 1
troops 1
turned 1
unravels 1
untimely 1
up 3
uso 1
vassal 1
vessel 1
violet 1
voice 1
waiting 1
war 1
water 3
well 1
what 3
when 1
while 1
who 1
whom 1
will 1
winter 1
with 2
woman 2
word 1
would 1
york 1
zinn 2
