743958
/m/037nzz
/m/037nzz
René Goscinny
1961

a 18
about 2
accelerated 1
actually 1
after 4
again 1
against 1
agree 1
all 3
also 3
an 2
and 23
anger 1
antidote 1
anyway 1
are 9
area 1
armor 3
army 2
around 1
as 6
asterix 11
at 4
attempting 1
back 2
banquet 1
barbarian 1
be 2
beard 1
beards 1
become 1
before 3
being 2
believes 1
bonus 5
bought 1
brewed 1
but 2
by 4
caesar 5
camp 3
can 2
captive 1
capture 1
captured 2
carried 1
cart 2
cauldron 1
causes 1
causing 1
centurion 3
chainmail 1
checking 1
claims 1
comparative 1
compendium 2
concoct 1
condition 1
control 1
could 1
crismus 8
demands 1
despite 1
discovering 1
discovers 1
discovery 1
disguised 1
does 1
drink 2
drinker 1
drinking 1
druid 1
during 1
earlier 1
eat 1
effects 1
emperor 1
empire 1
ends 1
enemies 1
enjoying 1
entire 1
era 1
escape 1
except 1
existence 1
expense 1
false 1
feather 1
feet 1
fight 1
find 1
finds 1
for 6
fortified 1
found 1
four 1
frees 1
from 3
garrison 2
gaul 2
gauls 3
get 2
getafix 12
ginandtonicus 2
give 2
giving 1
greek 1
grow 1
hair 3
hamata 1
has 1
have 2
having 2
he 12
head 1
hears 1
held 1
him 2
himself 1
his 6
holds 1
home 1
hours 1
huge 1
identity 1
in 9
indomitable 1
information 1
ingredient 1
ingredients 1
instance 1
instead 1
intentions 1
into 3
is 9
it 4
javelins 1
julius 2
just 2
keen 1
knocked 2
leading 1
learns 2
leave 1
legionaries 2
like 1
local 2
long 2
lorica 2
loses 1
lounge 1
luxury 1
made 1
magic 3
make 1
makes 1
making 1
man 4
manages 2
marcus 1
meeting 1
merchant 1
mongolia 1
moustache 1
mouth 1
needs 1
not 3
of 18
off 1
on 5
one 2
order 1
out 5
outer 1
outside 1
overthrow 2
pace 1
period 1
pila 1
pit 1
planning 1
plead 1
poisoned 1
potion 10
prepared 1
prepares 1
pretending 1
pretends 3
punishment 1
quantity 1
real 1
reallife 1
rebellion 1
recipe 1
reinforcements 1
reminding 1
reports 1
revealed 1
roman 8
romans 6
says 1
scheme 1
secondhand 1
secondincommand 1
secret 1
segmentata 1
sends 2
series 1
small 2
sneak 1
so 2
soldiers 2
soup 1
spears 1
spy 2
stall 1
standard 1
started 1
still 2
stopped 1
story 1
strawberries 3
strawberry 1
strength 2
sum 1
superhuman 1
taste 1
telling 1
test 1
tests 1
that 6
the 50
their 3
them 4
themselves 1
there 1
they 7
think 1
this 2
throughout 1
tickle 1
time 1
to 20
torture 2
tortured 1
traditional 1
tricked 1
trouble 1
try 1
turns 1
two 2
ultimatum 1
under 1
unseasonal 1
upon 1
use 2
used 1
using 2
usually 1
vast 1
vegetable 1
very 2
village 3
was 2
way 1
weaponry 1
wear 1
when 4
where 2
which 1
while 2
who 1
with 3
without 1
worries 1
wrong 1
yet 1
