10426975
/m/02qcqs3
/m/02qcqs3
Willa Cather
1931
167 1
1713 1
a 23
about 2
absence 1
accompanies 1
after 4
also 1
an 1
and 24
ankle 1
anything 1
apothecary 2
are 1
arrive 1
as 5
ask 1
asks 2
assemble 1
at 3
attend 1
auclair 3
aunt 1
aunts 1
away 2
be 1
beaver 1
because 2
been 1
being 1
believes 1
bishop 9
bishops 1
blinker 2
book 6
bowl 2
boys 1
branches 1
but 3
buy 1
by 3
calls 2
came 1
candle 1
cap 1
captivity 1
ccile 20
celebration 1
cellar 1
cellars 1
changed 1
chapel 1
charity 1
charron 3
chooses 1
chores 1
christmas 1
church 2
churchman 1
citizens 1
clothing 1
clotilde 1
cobbler 2
cold 1
collection 1
colony 1
come 1
comes 1
concerned 1
containing 1
contributes 1
convent 1
count 5
courtier 1
crche 1
customers 1
daughter 2
day 3
de 1
deaths 1
decisions 1
derides 1
description 1
despite 1
devolved 1
diamant 1
did 1
died 1
differences 1
dinner 2
directs 1
disabled 1
dissolute 1
does 4
dorlans 1
down 2
during 1
duties 1
dying 2
education 1
eight 1
employment 1
end 1
england 1
entirely 1
epilogue 2
euclide 12
eve 1
expectations 1
experiences 1
extravagant 1
father 3
feeds 1
feet 2
fellow 1
fifteen 1
figure 1
figures 1
five 1
flashback 1
following 1
for 6
forced 1
four 1
frames 1
france 10
freezing 1
french 1
friend 1
friends 1
from 6
frontenac 2
fruit 3
furtrader 1
general 1
get 1
gift 2
given 1
glass 3
go 2
goes 4
governor 1
growing 1
had 1
harbor 1
has 7
haunted 1
have 1
having 1
he 12
heavy 1
her 10
herself 1
him 5
hired 1
his 13
hospital 1
housekeeping 1
humbled 1
i 1
if 1
ii 1
iii 1
illness 1
in 18
including 1
industry 1
instituted 1
into 2
is 10
it 1
iv 1
jacques 11
jewelry 1
june 1
juschereau 2
king 1
last 1
late 1
later 2
laval 4
le 1
learn 3
learns 1
leave 2
left 1
less 1
lettuce 1
life 1
light 1
like 3
long 2
look 2
made 2
makes 1
man 1
management 1
many 2
market 1
married 1
may 1
measure 1
measured 1
medicine 1
meet 1
mother 2
named 1
nativity 1
new 1
no 1
not 5
notice 1
notices 1
october 1
of 23
older 1
on 6
opens 2
over 1
overlooking 1
packages 1
pair 1
parish 1
partially 1
passes 1
physician 1
pierre 3
pine 1
place 1
poor 1
praises 1
pray 1
prayer 1
prayers 1
prior 1
quebec 3
quite 1
raising 1
recalled 1
receives 1
relates 1
released 1
remain 1
remember 1
reminisces 1
replenishes 1
represent 1
reservations 1
resolve 1
return 2
returns 2
reverend 1
reviews 1
river 1
root 2
runs 2
saintvallier 4
saved 1
say 1
saying 1
scene 2
scheduled 1
season 1
sends 1
sent 1
service 3
several 1
she 9
ship 1
ships 3
shoes 2
shop 1
sitting 1
snowstorm 1
snubbing 1
some 2
son 1
sprained 1
stable 1
stands 1
store 1
stories 1
story 3
sugared 1
summer 1
supplies 1
system 1
take 1
takes 3
tells 6
than 1
that 10
the 44
their 3
there 1
they 4
thirteen 1
this 3
though 1
time 1
to 34
torturer 1
townsfolk 1
trade 1
troubles 1
turkey 1
twenty 1
two 2
undone 1
upon 2
upset 1
v 1
vegetables 2
vi 1
victims 1
visit 1
was 3
watch 1
watching 1
way 1
we 3
wealthy 1
when 1
where 1
which 1
while 1
who 3
whom 1
wife 1
will 1
winter 2
wish 1
with 3
woman 1
wooden 1
would 1
years 5
young 2
