375359
/m/020z0n
/m/020z0n
Michael Ende
1979
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 19
about 3
adventures 1
after 5
again 1
against 2
age 1
aged 1
agree 1
aided 1
all 3
along 1
already 1
also 2
and 24
antique 1
are 1
as 5
ask 1
asks 1
at 1
atreyu 15
attic 1
auryn 2
back 1
balthazar 1
bastian 16
battles 1
be 1
become 4
becomes 1
been 3
begins 2
being 1
believed 1
between 1
book 7
both 1
boy 4
brave 1
brought 1
bullied 1
bursts 1
but 4
bux 1
by 4
called 1
can 3
carl 2
carry 1
cause 1
centers 1
characters 1
child 1
childlike 6
chosen 1
city 1
colony 1
colors 1
comes 1
confidence 1
confronts 1
conrad 2
considered 1
continuous 1
coreander 5
costs 1
course 1
crowned 1
crying 1
cure 2
cycle 1
day 1
days 1
death 1
decides 1
deep 1
denial 1
desert 1
despair 1
destroying 1
does 1
dreams 2
driving 1
due 1
each 2
early 1
effectively 1
effects 1
emperor 1
empress 9
end 1
ends 1
engywook 1
escapes 1
even 1
eventually 1
evil 1
experiences 1
exploits 1
explores 1
fact 1
falkor 4
fantasies 1
fantastica 14
fantasy 1
father 2
fight 1
find 2
following 1
for 6
friends 1
from 3
fulfilling 1
gem 1
get 1
gets 1
giants 1
give 1
gives 1
gmork 1
gnomes 1
goes 1
gone 1
grants 1
greed 1
growing 1
had 1
has 10
having 2
he 15
help 3
helps 1
her 1
hesitates 1
hides 1
him 7
himself 3
his 19
however 2
human 2
humans 2
ill 1
imagination 1
in 14
incorporeal 1
increasingly 1
indulged 1
inhabitants 1
intending 1
into 4
is 16
it 3
its 1
ivory 1
kill 1
lack 1
land 1
lead 1
leads 1
learns 1
lies 1
life 2
likely 1
links 1
lives 1
lose 1
loses 1
losing 1
lost 1
luckdragon 1
lust 1
magically 1
manages 1
many 1
may 1
medallion 1
meets 5
memories 2
memory 1
missing 1
moonchild 1
more 1
morla 1
mr 1
must 2
name 2
named 1
narrowly 1
nature 1
nearly 1
neglected 1
neverending 2
new 2
night 1
not 2
nothing 5
now 1
of 29
off 1
on 3
once 1
one 2
only 3
onto 1
or 1
oracle 1
order 1
other 1
others 1
out 3
over 2
own 2
owner 1
part 3
person 2
power 4
preserve 1
proceeds 1
pursuing 1
quest 3
read 1
readily 1
reading 2
real 1
realizes 1
realizing 1
rebellion 1
rebuild 1
recklessly 1
remaining 1
representation 1
respective 1
rest 1
return 3
returning 1
reveals 1
rightful 1
running 1
same 1
save 1
school 1
schoolmates 1
see 1
self 1
sends 1
sets 1
she 2
sickness 1
since 2
so 1
some 1
soon 1
spook 1
spreading 1
start 1
steals 1
step 1
stop 1
store 2
story 4
stumbled 1
subsequently 1
such 1
sunken 1
surmises 1
take 1
talk 1
tension 1
that 6
the 70
their 4
them 1
they 1
thing 2
think 1
thinkers 1
this 1
though 1
three 1
through 1
thrown 1
time 2
to 25
tower 1
transfixed 1
trapped 1
true 5
two 2
up 1
upon 2
urgl 1
use 1
uyulala 1
versa 1
vice 1
warrior 2
way 3
were 1
werewolf 1
what 1
whatever 1
when 1
where 2
which 5
while 2
whilst 1
who 6
wife 1
willothewisp 1
wind 1
wish 3
wishes 1
wishing 1
wit 1
witch 1
with 5
without 1
world 3
worlds 1
worried 1
xayide 2
young 1
