6546437
/m/0g9qmf
/m/0g9qmf
Andrew Gross

{"/m/01jfsb": "Thriller", "/m/0lsxr": "Crime Fiction"}
a 2
agent 1
and 3
andie 2
anonymous 1
as 2
be 1
been 1
begin 1
big 1
biggest 1
birthday 1
bomb 1
bombed 1
both 1
bus 2
but 2
cant 1
cavello 3
close 1
conviction 1
courtroom 1
day 1
decade 1
degrasse 1
difficult 2
dock 1
dominic 1
done 1
enough 1
escorting 1
evidence 1
eye 1
faced 1
fbi 1
finally 1
foresee 1
go 1
has 1
heavy 1
helped 1
her 2
hotel 1
how 1
in 1
is 4
it 1
jarrod 1
jury 2
just 1
justice 1
keeps 1
know 1
loss 1
make 1
mobster 1
nail 1
nick 1
of 3
on 3
only 1
pellisante 2
person 1
planted 1
proceedings 1
put 1
resolve 1
rest 1
security 1
see 1
sequestered 1
she 1
son 1
strengthens 1
surrounds 1
survives 1
swiftly 1
that 2
the 13
their 1
them 1
then 1
there 1
they 1
things 1
this 1
threats 1
time 1
to 7
trial 1
well 1
who 3
whoever 1
will 1
with 2
wrong 1
young 1
