12079866
/m/02vp4bv
/m/02vp4bv
Ann Weldy

{"/m/02xlf": "Fiction"}
2 1
a 10
about 2
accent 1
actually 1
admits 1
advances 1
affairs 1
after 4
again 2
agrees 1
alcohol 2
alcoholism 1
all 1
also 1
an 1
and 24
anniversary 1
another 1
any 1
are 3
artificially 1
as 4
ashamed 1
asking 1
asks 1
assaults 1
at 1
attempted 1
attends 1
attracted 1
attraction 1
atypical 1
back 1
badly 1
battered 1
be 1
beach 1
becomes 2
beebo 16
been 2
begin 2
begins 1
being 1
black 1
boredom 1
both 5
boyfriend 1
briefly 1
brinker 1
bruised 1
brutally 1
but 7
butch 1
by 2
causes 1
changed 1
chapters 1
children 1
city 1
comes 1
confused 1
constantly 1
consternation 1
controlling 1
convince 1
could 1
couples 1
dancer 1
descendednbsp 1
descends 1
destructive 1
deteriorated 1
deterioration 1
diary 1
discover 2
disheartened 1
do 2
does 1
dog 2
drink 1
drinks 1
eastern 1
else 1
emotions 1
encounter 1
enjoy 1
entries 1
even 1
exotic 1
fall 1
fascinating 1
feels 1
finally 1
finds 2
flirts 1
for 6
found 1
friend 1
from 2
frustrated 1
fueled 1
further 1
gay 1
get 3
go 1
goes 2
going 1
grave 1
hall 1
handsome 1
hardly 1
has 7
have 3
hearing 1
heart 1
her 11
herself 2
hiding 1
him 3
his 1
hits 1
home 1
hoodlums 1
house 1
how 1
if 1
in 5
indian 1
inseminated 1
instead 1
interested 1
intimate 1
into 2
is 9
it 4
jack 8
keep 1
killed 1
know 1
knowing 2
knows 1
landon 1
later 1
laura 25
lauranbsp 1
learns 1
leaves 1
left 2
lessons 2
lied 1
live 3
living 1
long 1
longer 2
looking 1
lover 1
make 1
mann 1
marriage 1
married 2
marry 2
men 1
misgivings 1
more 3
most 1
mutual 1
named 1
never 1
no 1
not 5
of 3
once 2
out 1
own 1
party 1
passion 1
perhaps 1
pregnant 1
previous 1
proposes 1
pulled 1
quietly 1
rampage 1
rape 1
raped 1
refuses 1
relationship 2
relationships 1
relents 1
remarks 1
responds 1
return 2
returns 3
robischon 1
ruined 1
said 1
she 7
simultaneously 1
since 1
slaughtered 1
sleep 1
some 1
soon 1
story 1
strikingly 1
such 1
suicide 1
sure 1
suspicious 1
take 1
telling 1
terry 3
that 3
the 3
their 6
them 1
there 1
they 10
through 1
time 1
to 30
together 4
tough 1
trip 1
tris 9
try 1
turn 2
two 1
unable 1
unexpectedly 1
until 1
unusual 1
used 1
village 1
visiting 1
visits 1
wanted 1
was 1
watches 1
way 1
weeks 2
what 2
when 5
where 3
which 2
who 1
why 1
will 1
with 8
woman 2
work 1
worked 1
would 2
years 1
