349909
/m/01z43p
/m/01z43p
William Gibson
1988
{"/m/01qpc": "Cyberpunk", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel", "/m/026ny": "Dystopia"}
a 19
abduct 1
ability 2
access 1
acquaintance 1
act 1
after 3
afterward 1
aleph 2
all 1
allow 1
also 2
altered 1
always 1
an 3
and 9
angela 1
angie 3
appearance 1
are 1
artist 2
as 2
be 2
blackout 1
bobby 1
boss 1
brain 1
brainwashing 1
but 1
by 5
called 1
calling 1
capacity 1
car 1
cared 1
characters 1
child 1
comatose 1
company 1
complete 1
conceal 1
concerns 1
consciousness 1
construct 1
contain 2
convicted 1
count 4
creating 1
cyberharddrive 1
cybernetic 1
cyberspace 2
daughter 1
days 1
deck 1
deserted 1
did 1
directly 1
dog 1
drugs 1
dumps 1
during 1
eight 1
engages 1
enough 1
episodes 1
events 1
expanse 1
factories 1
factory 1
famed 1
famous 1
father 3
features 1
fifteen 1
final 1
focuses 1
follows 2
for 2
formed 1
from 6
gang 1
gibson 1
gig 1
girl 3
grow 1
had 1
has 3
have 2
having 1
he 3
henry 2
her 9
herself 1
himself 1
hired 2
his 2
hooked 1
hostile 1
identity 1
impeded 1
implied 1
in 6
independently 1
individual 1
individuals 1
innocent 1
interconnecting 1
into 1
is 7
it 1
japanese 1
jersey 1
keep 1
kumiko 1
labs 1
large 2
later 1
leaders 1
learn 1
line 1
literally 1
lives 1
london 3
look 1
loss 1
makes 1
manipulations 1
mark 1
meets 1
member 1
memory 2
mercenary 1
millions 2
mitchell 2
mob 1
molly 2
mona 2
morethanpassing 1
named 3
nature 1
neuromancer 2
new 1
newmark 1
no 1
novel 2
now 1
of 16
on 1
one 2
order 1
other 1
out 1
part 1
parties 1
pauline 1
perhaps 1
periodically 1
person 1
personality 1
place 2
plot 4
poisoned 1
powerful 1
previous 1
production 1
prostitute 1
provided 1
punished 1
punishment 1
pursuing 1
ram 1
razorfingered 1
reality 1
reclusive 2
reference 1
repetitive 1
research 1
resemblance 1
result 1
retainers 1
returning 1
robotic 1
safe 1
sally 1
sculptures 2
second 3
sensenet 1
sent 1
several 1
severely 1
shady 1
she 3
shears 1
simstim 2
slick 2
solitude 1
spends 1
sprawl 1
star 1
story 4
such 1
suffers 1
supercapacity 1
superstar 1
survival 1
takes 1
taking 1
thanks 1
that 2
the 22
theoretical 1
thief 1
third 1
this 1
thread 1
threads 2
time 1
to 14
top 1
turns 1
under 1
war 1
was 1
what 1
when 1
which 1
while 1
who 6
wing 1
with 2
without 1
works 1
would 2
yakuza 2
years 2
young 2
zero 3
