2608248
/m/07rdrf
/m/07rdrf
Florence Atwater
1938
a 12
accidentally 1
accompany 1
act 2
admiral 6
after 3
air 1
all 1
along 1
also 1
an 2
and 9
angry 1
aquarium 2
arctic 1
are 4
arrested 1
arrived 1
as 6
asking 1
at 2
attributes 1
away 1
back 1
bail 1
basement 1
be 3
birds 3
both 1
box 1
broadcast 1
business 1
but 2
by 4
can 1
cannot 1
captain 2
cause 1
change 1
changes 1
circus 1
cleans 1
climate 1
cold 1
comes 1
continues 1
contractor 1
cook 3
countries 1
country 1
creating 1
curator 2
day 1
days 1
debuts 1
decides 2
do 1
drake 3
each 1
egg 2
eggs 2
especially 1
every 1
expedition 1
experienced 1
experiencing 1
experimentally 1
extremely 1
failing 1
family 2
famous 1
fan 1
featured 1
feed 1
female 1
find 1
fit 1
for 6
freezing 1
go 2
goes 1
goodbye 1
greta 2
growing 1
habitat 1
had 1
has 4
hatch 1
have 1
having 1
he 1
health 1
help 1
him 2
himself 2
his 3
household 1
icebox 2
in 10
inside 1
installed 1
into 3
invites 1
is 7
james 1
large 3
lay 1
laying 1
lays 1
let 1
lets 1
life 1
local 1
lonely 1
looking 1
mail 2
main 1
manager 1
many 2
money 1
moved 1
mr 16
names 1
new 2
no 1
normally 1
north 2
not 2
now 1
of 4
on 3
one 1
opens 1
or 1
other 1
out 2
pair 1
passes 1
payment 1
penguin 6
penguins 12
performing 2
perhaps 1
plant 1
pole 2
popper 20
poppers 4
posts 1
presence 1
previously 1
promises 2
radio 1
raise 1
reaches 1
receive 1
released 1
replies 1
revitalized 1
sad 1
sail 1
same 1
second 1
see 2
sent 1
she 1
show 1
shown 1
simply 1
sleep 1
snowcovered 1
so 2
solution 1
soon 2
speaking 1
springtime 1
suggests 1
surprise 2
symptoms 1
ten 1
that 6
the 50
theater 4
their 1
them 1
they 1
theyve 1
things 1
this 2
three 1
throughout 1
time 2
to 13
together 1
total 1
towards 1
training 1
traveling 1
trip 1
trouble 1
tunes 1
turning 1
turns 1
twelve 3
two 1
unfortunately 1
until 2
up 1
upstairs 1
wave 1
what 1
when 1
where 1
which 1
who 1
will 2
window 1
winter 1
with 3
work 1
worse 1
writes 1
wrong 2
year 1
york 1
