4541758
/m/0c7z1w
/m/0c7z1w
Garth Nix
2001-01-01
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 19
about 2
accept 1
adras 3
aenir 1
aenirian 1
afraid 1
after 1
ago 1
all 1
an 1
and 18
angry 1
animal 1
appears 1
are 3
area 1
arriving 1
arrow 1
as 3
asleep 1
at 5
awakes 1
away 3
back 1
be 1
because 3
before 3
being 1
berserk 1
big 1
bind 1
birds 3
blood 1
bodies 1
bolts 1
bottom 1
bounces 1
bound 1
break 1
bugs 1
burnt 1
but 4
by 2
c 1
called 2
calms 1
cannot 1
cant 1
carved 1
characters 1
chase 1
chosen 1
clasping 1
cloud 2
codex 1
come 1
communicate 1
confused 1
content 1
creature 2
creatures 3
deciding 1
demand 1
destroy 1
destroyed 1
dim 1
discover 1
do 4
does 1
doesnt 1
door 1
down 1
east 1
edge 1
emotions 1
ends 2
escape 1
ever 1
exact 1
exchange 1
exhilarated 1
explain 1
female 1
field 1
finally 1
find 1
finds 1
first 1
flies 1
floor 1
for 2
free 2
from 1
fully 1
gave 1
get 1
gets 1
giant 2
gift 1
gigantic 1
glance 1
go 2
going 1
good 1
grab 1
grass 1
great 1
green 1
ground 1
hacks 1
hands 1
has 1
have 2
he 4
head 1
heart 1
her 10
herself 1
hesitate 1
hill 4
him 3
his 2
hopes 1
horn 1
hugthing 2
human 1
humans 1
hunting 1
hurls 1
hurt 1
in 7
intelligence 1
into 3
is 9
it 4
jumps 1
just 3
knocking 1
lands 1
legs 1
lets 1
letter 1
level 1
life 2
lighting 1
like 1
lives 1
maiden 1
make 2
making 2
male 1
meanwhile 1
merwin 1
milla 8
more 2
mountain 1
nanuchs 1
neither 1
new 1
noises 1
not 3
odris 5
of 9
off 2
offer 3
offers 1
often 1
on 5
one 1
only 2
open 1
out 2
outside 1
over 2
pack 3
pair 1
patch 1
pointing 1
possibly 1
prison 1
probably 1
problem 1
protecting 1
putting 1
quick 1
quickly 1
quite 1
rage 1
reach 1
reactions 1
reading 1
realizes 2
release 1
remain 2
removed 1
ribs 1
run 1
runs 1
scared 1
shadow 3
sharp 1
she 9
shepherds 2
shield 1
should 1
shows 1
shut 1
sign 1
sky 1
slender 1
small 1
snaps 1
something 1
soon 2
sort 1
spirit 2
spiritshadows 2
stairs 1
standing 1
starts 1
storm 1
storms 1
summons 1
sure 1
surrounds 1
sword 2
sworn 1
take 1
takes 1
taking 2
tal 9
talk 1
task 1
that 6
the 27
their 3
them 2
themselves 2
then 6
there 1
they 7
this 2
thousands 1
threatens 1
through 1
thunder 2
time 1
to 14
together 2
top 1
towards 1
tower 1
trapped 1
tree 1
trees 1
true 1
trying 1
turns 1
two 4
unconscious 1
under 1
underneath 1
understand 1
until 1
up 5
very 1
wait 1
waking 1
walk 1
were 1
when 6
where 1
while 2
who 1
why 1
wide 1
with 7
witted 2
years 2
