199550
/m/01cbj3
/m/01cbj3
Thomas Hardy
1895
a 11
abandoned 1
able 1
about 1
actions 1
addition 1
afraid 1
after 4
again 1
age 1
alcohol 1
alone 1
also 1
although 1
altogether 1
always 1
an 2
and 20
another 1
any 1
apparently 1
arabella 6
are 6
as 1
at 2
aunt 1
bakery 1
be 2
because 3
becomes 2
before 1
behind 1
being 2
believe 2
beside 1
bestowed 1
blaming 1
born 1
both 1
bound 1
boy 1
bridehead 1
but 1
by 6
calls 1
can 1
child 1
children 4
christminster 2
church 1
city 1
classics 1
coarse 1
comes 2
commits 1
conversation 1
convinced 1
convinces 1
cousin 1
deaths 1
deserts 1
desperate 1
destroy 1
devastated 1
did 1
dies 1
discovers 1
disgusted 1
dismiss 1
divine 1
done 1
donn 1
earlier 1
employers 1
english 1
ensnare 1
enter 2
erotolepsy 1
especially 1
eventually 2
evict 1
fails 1
falls 1
family 2
father 3
fawley 1
feelings 1
final 1
find 1
finds 1
first 1
for 6
former 1
freespirited 1
freezing 1
from 1
general 1
get 1
girl 1
greek 1
grief 1
grown 1
had 2
halfsiblings 1
hanging 1
has 5
have 2
he 9
her 7
herself 2
him 7
himself 2
his 6
history 1
hoping 1
horrified 1
husband 1
ill 1
in 10
informs 1
instead 1
instigated 1
intelligent 1
intense 1
into 2
introduces 1
is 6
it 1
jude 18
know 1
landlords 1
later 3
latin 1
leaves 3
leaving 1
left 1
legally 1
life 1
little 3
living 2
local 1
love 3
manipulated 1
marriage 3
married 2
marries 1
marrying 1
mason 1
meets 1
menny 1
might 1
miscarriage 1
modeled 1
moroseness 1
mourn 1
moves 1
mr 1
murders 1
named 1
nave 1
never 1
next 1
nicknamed 1
night 1
normality 1
not 2
note 1
novel 1
of 8
on 1
once 1
one 3
ostracized 2
out 1
over 1
oxford 1
part 1
passing 1
phillotson 6
physically 1
plies 1
previous 1
process 1
proposes 1
quickly 1
rather 1
reads 1
reasons 1
region 1
relationship 3
religious 1
remarries 1
remarry 1
results 1
resuming 1
retribution 1
revealed 1
satisfied 1
scholar 1
schoolteacher 1
seriously 1
seriousness 1
setting 1
sex 1
sexual 1
she 5
shortly 2
should 1
simply 1
sleep 1
socially 1
sociallydisturbed 1
some 1
soon 1
source 1
southern 1
spare 1
spend 1
spouse 1
stage 1
staid 1
stonemason 1
story 1
studying 1
sue 14
suicide 1
suitor 1
superficial 1
supports 1
teaches 1
tells 1
that 7
the 20
their 3
them 1
there 1
thereafter 1
they 5
think 1
this 2
thought 1
through 1
time 6
to 18
together 3
too 1
tragic 1
trick 1
try 1
turns 1
two 4
unhappy 1
unions 1
university 2
unmarried 1
village 1
visit 1
we 1
weather 1
were 2
wessex 1
when 1
which 1
while 2
who 3
whom 2
with 9
within 2
without 1
woes 1
working 1
worn 1
year 1
yearns 1
years 2
