26170677
/m/0b6g0vh
/m/0b6g0vh
Suzanne Collins
2010-08-24
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature", "/m/08sdrw": "Adventure novel", "/m/0c082": "Utopian and dystopian fiction"}
12 1
13 3
74th 1
a 14
about 2
access 1
accidentally 1
acquitted 1
actually 1
after 5
against 2
age 1
agreed 1
agreement 1
all 1
alone 1
along 1
already 1
also 1
although 1
an 1
and 25
annual 1
another 1
apparent 1
are 6
arrest 1
as 6
assassinate 1
assault 2
at 1
attempt 1
attempting 1
attempts 1
away 1
back 2
battles 1
be 1
become 1
been 2
begin 1
believing 1
between 1
bombing 1
book 1
both 1
bow 1
brainwashed 1
brainwashing 2
but 6
by 4
cake 1
cannot 1
capitol 10
care 1
cartwright 1
childhood 1
children 7
city 1
claiming 1
coin 4
comforting 1
commit 1
contrast 1
control 1
conversation 1
convinced 1
cope 1
create 1
day 1
dead 1
decide 1
decided 1
decorating 1
deeply 1
delly 1
demands 1
denies 1
despite 1
determined 1
developed 1
did 1
die 1
died 1
discovered 1
displeasure 1
distressed 1
district 4
districts 1
disturbs 1
do 1
doubts 1
dreads 1
drive 1
drops 1
due 1
during 1
each 1
effects 1
encounters 1
ends 1
enemy 1
enough 1
ensues 1
epilogue 1
escaped 1
even 1
events 1
eventually 1
ever 1
every 1
execution 1
explode 2
explosion 1
expresses 1
falls 1
feels 1
filled 1
filming 1
finally 1
finding 1
finds 1
finnick 1
fire 1
flee 1
following 1
for 4
forced 1
found 1
friend 1
from 5
front 1
fuel 1
fully 1
further 1
gain 1
gale 3
game 1
gamemakers 1
games 7
get 1
give 1
given 1
goes 1
good 1
gradually 1
grant 1
guilt 2
had 2
happy 1
has 4
have 3
having 1
hawthorne 1
haymitch 1
he 6
help 1
helps 1
her 20
herself 2
high 1
him 2
his 8
holding 2
home 1
hope 1
house 1
hover 2
human 1
hunger 5
if 1
ill 1
immunity 1
impeding 1
improves 1
in 8
including 5
innocence 1
insanity 1
instead 1
intended 1
intense 1
intent 1
into 2
involvement 2
is 14
it 3
katniss 28
kept 1
kids 1
kill 1
killed 4
killing 4
largely 1
later 3
leader 2
leaders 1
learn 1
lie 1
like 1
lines 1
look 1
love 1
loyalty 1
making 1
mansion 2
many 4
markings 1
married 1
medical 1
members 1
memories 1
memory 1
mentally 1
mission 1
mockingjay 2
months 1
more 1
much 3
needs 1
neighborhood 1
not 2
odair 1
of 15
off 1
on 6
opened 1
opportunity 1
order 1
originally 1
other 1
others 2
over 1
panem 1
parachutes 2
parents 1
part 1
participants 1
past 1
peeta 11
permission 1
plane 2
play 1
plays 1
preserve 1
president 8
presses 1
previous 1
prim 5
propaganda 4
provide 2
punish 1
push 1
quarter 1
quell 1
rage 1
raises 1
reaches 1
realizes 1
realizing 1
rebel 1
rebellion 1
rebels 5
rebuild 1
recalls 1
recognizing 1
recounting 1
recovered 1
recovering 1
recovers 1
recovery 1
reminding 1
reminds 1
repetitive 1
replacement 1
rescue 3
resembles 1
reserves 1
responsible 1
rest 1
returns 1
reunion 1
revenge 1
right 1
riot 1
role 1
ruling 1
safe 1
same 2
saying 1
scarred 1
seen 1
sends 1
sent 2
series 1
she 8
shelter 1
shields 1
shoots 1
sister 3
snow 12
soldier 1
someone 2
soon 1
stops 1
stories 1
strangle 1
strength 1
suicide 1
supply 1
supposedly 1
symbol 1
team 3
television 1
tells 1
that 12
the 50
their 4
them 2
then 2
therapy 1
there 1
they 2
thing 1
thinks 1
those 1
through 1
to 33
together 1
towards 1
train 1
trap 2
treatment 1
tributes 1
tries 1
twenty 1
two 1
unable 1
under 1
unit 1
unquestioned 1
up 1
urban 1
use 1
victor 1
victory 1
war 2
warfare 1
watches 1
watching 1
wedge 1
when 3
where 1
which 2
while 1
who 4
with 12
works 1
worse 1
would 4
wounded 1
write 1
wrong 1
years 1
young 1
younger 1
