1009349
/m/03yw40
/m/03yw40
Edwin O'Connor
1956
72 1
a 17
abilities 1
achievements 1
adam 2
adept 1
ads 1
advertising 1
after 1
afterward 1
age 1
always 1
american 1
an 1
and 11
announcing 1
another 3
appearances 1
as 5
assumed 2
at 2
attack 1
be 1
been 1
beginning 1
behind 1
body 1
book 1
boston 2
brand 1
broad 1
but 3
by 4
called 1
campaign 2
can 1
candidate 1
caulfield 1
changed 1
city 5
coast 1
consequences 1
consider 1
corrupt 1
credit 1
curley 1
current 1
day 2
deal 1
defeat 1
defeats 1
democratic 1
detailed 1
developments 1
dies 1
do 1
dying 1
east 1
either 1
election 3
end 1
events 1
experience 1
explains 1
face 2
figure 1
first 1
flawed 1
focuses 1
for 7
former 1
frank 1
frequently 1
friends 1
from 2
general 1
gets 1
gives 1
giving 1
good 2
governing 1
governor 3
great 1
had 2
handsome 1
has 2
have 1
he 6
heart 1
him 2
his 6
history 1
honorific 1
hurrah 2
ii 1
immediately 1
in 7
including 1
insightful 1
intended 1
irish 1
is 9
it 1
its 1
james 1
kevin 1
kind 2
last 2
leaves 1
life 3
longer 2
machine 2
main 1
man 1
manners 1
many 2
massachusetts 1
massive 1
mastered 1
mayor 4
mayoral 1
mccluskey 2
mcclusky 1
medium 1
michael 1
might 1
mourning 1
named 1
narrator 1
neophyte 1
nephew 2
never 1
new 3
no 4
novel 2
of 12
oldstyle 1
on 2
one 1
opponent 1
or 3
painting 1
party 1
person 1
picture 1
pivotal 1
plot 1
political 2
politician 2
politics 5
portrays 1
probably 1
prophetically 1
public 2
real 1
record 1
represent 1
retiring 1
room 1
rounds 1
run 1
running 1
showcasing 1
signs 1
skeffington 9
so 1
soon 1
story 1
suffers 1
support 1
surprises 1
surprisingly 1
survive 1
television 2
term 3
that 5
the 21
thereby 1
third 1
through 1
time 1
title 1
to 4
told 1
tracking 1
unnamed 1
urban 1
usually 1
veteran 2
view 1
voters 1
war 1
was 1
well 1
what 1
when 1
while 1
win 1
with 4
world 1
yet 1
younger 1
