4904241
/m/0ctf44
/m/0ctf44
Joe Dever
1985
{"/m/03ff00": "Gamebook", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature"}
a 3
accompany 1
along 1
an 1
ancient 1
and 2
book 1
by 2
captain 1
cavalry 2
charged 1
circumstances 1
disappearance 1
disappeared 1
disruption 1
dval 1
evil 1
fifty 1
flow 1
from 1
him 1
in 2
investigate 1
investigating 1
is 1
king 1
led 1
lone 2
man 1
men 1
mined 1
missing 1
must 1
mysterious 1
named 1
of 6
province 1
resources 1
resurrection 1
ruanon 1
soldiers 1
sommerlund 1
sommlending 1
stop 1
surrounding 1
terrible 1
the 9
themselves 1
this 1
to 1
troop 1
truth 1
uncover 1
under 1
while 1
who 1
with 1
wolf 2
