19428769
/m/04n40vf
/m/04n40vf
Mary Kay Andrews

{"/m/02xlf": "Fiction"}
30 1
a 5
after 1
also 1
an 1
and 1
are 1
bed 1
between 1
big 1
by 1
called 1
cancellation 1
cancelled 1
channel 1
chef 1
competition 1
cooking 3
creates 1
decide 1
for 1
gina 2
health 1
her 1
hosted 1
in 2
interested 1
into 1
is 2
local 1
moody 1
new 1
obsessed 1
old 1
on 1
opportunity 1
out 1
producer 1
producers 2
pulls 1
reality 1
seeing 1
show 5
sponsor 2
tate 2
the 6
this 1
to 1
turn 1
vittles 1
when 1
wife 1
with 2
year 1
