17192597
/m/043qh9k
/m/043qh9k
Darren Shan
2008-10-01
{"/m/01hmnh": "Fantasy", "/m/03npn": "Horror", "/m/08sdrw": "Adventure novel"}
a 12
about 2
accompanies 1
after 3
agrees 1
all 1
alongside 1
and 18
antoine 9
are 3
around 1
arrival 1
arrived 1
arrives 1
as 1
asks 1
assault 1
assembles 1
assuming 1
athim 1
attack 3
attacked 2
attempt 1
back 4
bargain 1
be 2
bec 3
becomes 1
before 1
behind 2
being 1
beranabus 1
boat 2
book 1
brauss 1
breeding 1
but 6
by 2
calls 1
can 1
cannot 1
carcery 1
charge 1
computer 1
confirms 1
control 1
decided 2
demon 2
demonata 2
demons 1
dervish 4
destroy 1
destroyed 2
die 1
dirty 1
discover 1
docks 1
doesnt 1
done 1
dozen 1
efforts 1
emerges 1
end 1
escape 4
escort 1
eventually 1
expert 1
explains 1
facility 1
fight 3
fighting 2
fights 1
find 4
finds 3
flee 1
for 1
fought 1
from 1
gets 1
go 2
going 1
grady 2
great 1
grubbs 13
has 3
he 7
headquarters 1
helicopter 1
him 2
his 3
home 2
horwitzer 1
hundred 1
if 1
in 7
informing 1
injured 1
instead 1
into 1
is 11
island 2
it 4
juni 5
just 1
keep 1
kernel 1
kill 2
killed 3
kills 1
kirilli 1
lamb 1
lambs 2
later 2
leader 1
learn 2
leaves 1
left 2
lying 1
magic 1
makes 1
man 2
manage 1
mean 1
meera 2
meet 1
missing 1
more 1
named 1
names 1
not 3
nothing 1
of 7
off 1
on 5
once 1
one 2
open 1
opens 1
out 1
overpowered 1
pack 2
place 1
prae 5
prepare 1
prisoner 1
question 1
released 1
replacing 1
responsible 1
revealed 1
safety 1
savagely 1
says 1
sea 1
see 1
seven 1
severely 1
shadow 1
shark 4
she 2
shortly 1
should 1
since 1
six 1
soldiers 1
starts 1
stay 1
stole 1
subduing 1
subsequent 1
surrounded 1
swan 2
swim 1
tapping 1
team 1
that 9
the 30
their 3
them 4
themselves 1
there 1
they 13
this 2
through 2
timas 3
to 19
took 1
torturing 1
try 2
trying 1
ultimately 1
universe 1
up 1
upon 1
vale 1
vision 1
was 1
way 1
were 2
werewolf 1
werewolves 6
when 1
who 2
will 2
window 2
with 4
wolf 1
wolves 1
wont 1
world 3
would 1
you 1
