3457639
/m/09dh32
/m/09dh32
Bernard Pomerance

a 26
able 1
about 4
abuse 1
acting 1
actress 1
acts 1
add 1
administrator 1
admits 1
adopt 1
afflicted 1
africa 1
after 4
agrees 1
alexandra 1
all 3
allow 2
allows 1
although 1
amazes 1
an 5
anatomy 1
and 35
announces 1
another 1
any 1
anything 2
appearance 2
are 6
argues 1
around 1
arrives 1
as 4
ask 1
asks 3
assures 1
at 7
attempt 1
attendants 1
audience 1
away 1
back 2
bath 1
be 2
because 2
becomes 1
been 2
begs 1
being 2
believe 1
believes 3
bishop 5
body 2
bolts 1
bone 2
both 1
bring 2
brussels 1
builds 1
but 3
by 4
calm 1
can 4
cannot 2
care 1
cared 1
caretaker 1
carrgomm 7
caught 1
chaos 1
charge 1
christian 1
church 3
come 2
comes 2
comment 1
comments 1
commit 1
compassionately 1
condition 4
conductor 1
confronts 2
congo 1
consider 1
contains 1
conversation 1
converse 2
convince 1
cosmos 1
criticizing 1
crowd 2
cruelty 1
dead 1
death 3
decides 1
declares 1
delivers 1
describes 1
determined 1
did 1
die 1
dies 1
different 1
discovers 1
discuss 1
disguise 1
disorder 2
display 2
displays 1
dissolves 1
distressed 1
do 1
doctor 1
does 2
doesnt 1
doing 1
donated 2
doomed 1
down 1
drastically 1
driven 1
duchess 1
due 2
easily 1
educate 1
elephant 3
else 1
embarrassed 1
employer 1
emulate 1
enforce 1
enough 1
enters 1
even 1
ever 2
everybody 1
everything 1
explains 1
fact 1
faith 1
family 1
fate 1
fee 1
feel 1
feels 1
fetch 1
final 2
finally 2
finishes 2
fired 1
first 1
flattered 1
for 11
freak 5
frederick 1
friends 3
from 2
frustration 1
frustrations 1
funds 1
further 1
gifts 1
given 1
gives 1
glad 1
go 1
god 2
goes 1
gomm 2
good 2
grace 1
grew 1
had 2
hand 3
hands 2
happen 1
happens 1
hard 1
harsh 1
has 12
have 3
having 1
he 43
head 1
health 1
heaven 2
help 5
her 8
hes 1
hide 1
high 1
him 17
hires 1
his 25
horror 1
hospital 5
how 7
however 2
humanity 1
if 2
illusion 1
imitation 3
impending 1
importance 2
important 2
in 12
incites 1
indecent 1
indeed 1
insists 1
interviews 1
into 2
intrigued 1
invites 1
is 28
it 9
job 1
john 1
judges 1
juliet 1
just 3
kendal 18
late 1
lay 1
lead 1
leaves 2
lecture 2
lepers 1
letter 3
life 2
like 2
listens 1
live 1
lives 1
london 6
lonely 1
looking 1
love 1
makes 1
making 1
man 3
manager 1
matter 1
mdash 4
meaning 1
meet 3
meeting 1
meets 1
members 1
mental 1
mentions 1
mere 1
merely 1
merrick 48
merricks 6
microcephaly 1
might 1
minutes 1
mistress 2
model 3
money 1
more 2
mrs 18
must 3
naked 2
nature 1
needs 1
nervously 1
never 1
new 2
nightmare 1
no 3
normal 2
normality 1
normally 1
not 4
notes 2
now 2
nurse 1
of 28
on 5
one 3
onstage 1
opens 1
or 1
order 1
others 2
out 3
outlining 1
over 1
own 2
painful 1
pathetic 1
patients 1
peeking 1
penis 2
people 2
perform 1
phillip 1
phillips 1
photographs 1
pinheads 3
place 1
plans 1
plea 1
pleased 1
police 2
policeman 1
position 1
posture 1
prepared 1
pretends 1
princess 1
printed 1
put 1
queens 2
quite 1
reads 1
real 1
realizes 2
reflected 1
refuses 3
rejoin 1
religion 2
remaining 1
requires 1
retardation 1
return 1
revulsion 1
rigid 1
rigidity 1
riot 1
road 1
romeo 2
room 3
ross 7
rough 1
rules 1
runs 1
rushes 1
sandwich 2
savings 1
saying 2
says 5
scene 1
science 1
screaming 1
see 3
seemingly 1
seen 1
sees 2
selfcontrol 1
sending 1
sends 1
sensitive 1
several 1
severe 1
shaken 1
shakes 1
she 10
shocked 1
shorten 1
should 2
show 6
sing 1
singing 1
sitting 1
situation 1
skills 1
sleep 2
sleeps 1
snork 3
so 1
society 2
some 1
something 1
source 1
st 2
stand 1
standards 1
standing 1
stared 1
stay 2
steals 1
strained 1
study 1
suffer 1
suffering 2
suggests 1
surgeon 1
take 1
takes 1
taking 1
tears 1
telling 1
tells 10
terrifying 1
than 1
that 42
the 56
their 2
them 1
themselves 1
then 4
therefore 1
these 1
they 5
things 2
thought 1
thoughtful 1
three 1
time 2
times 2
to 50
too 2
train 1
travels 1
treves 29
tries 3
trouble 1
true 1
truly 1
trust 2
two 1
undeformed 1
undresses 1
unlikely 1
up 3
upandcoming 1
upon 3
use 1
used 1
versus 1
very 1
view 1
views 1
visions 1
visit 2
visits 1
want 1
warning 1
way 2
ways 1
we 1
weight 1
what 3
when 6
where 1
which 4
while 4
whitechapel 1
who 2
will 9
wishes 1
with 9
without 2
woman 3
women 1
work 1
workhouses 1
world 1
worries 1
worse 1
worsened 1
worsening 1
worth 1
would 2
write 1
written 1
years 1
