20008950
/m/04ygjwl
/m/04ygjwl
Rachel Cosgrove Payes
1993
{"/m/01hmnh": "Fantasy"}
a 9
after 1
against 1
agent 1
aided 1
all 1
along 1
an 1
and 7
animated 1
armed 1
awakens 1
band 2
beehive 1
blundered 1
brew 1
but 1
by 1
century 1
change 1
character 2
cheese 1
confront 1
continues 1
cosgrove 1
dorothy 8
drinking 1
drinks 1
efforts 1
enchants 1
encounter 1
end 1
events 1
flight 1
for 2
forbidden 1
fountain 1
friends 1
from 1
gale 1
giant 2
girl 2
good 1
green 1
has 3
her 7
hidden 1
however 1
hummingbird 1
hundred 1
in 4
informs 1
intent 1
into 3
introduced 1
is 5
jamb 1
jellia 1
knowledge 1
last 1
leon 3
little 1
magical 1
main 1
malicious 1
man 1
manage 1
mdash 2
memory 1
missed 1
mistaken 1
musical 1
musicians 1
named 1
neon 2
of 9
on 1
out 2
oz 1
ozma 1
payes 1
percy 3
piece 1
potion 1
purged 1
rat 1
rescue 1
rest 1
revenge 1
rubber 2
scarecrow 1
scheme 1
seek 1
sets 2
she 4
singra 8
sleeping 1
snuffbox 1
south 1
spell 1
statue 1
take 1
talking 1
that 2
the 16
their 1
they 1
thinks 1
this 1
title 1
to 4
tricks 1
trio 1
triumphs 1
trot 2
turning 1
unravel 1
unwelcome 1
valley 1
vengeance 1
waylays 1
while 1
white 1
wicked 1
wings 1
witch 1
with 2
wizard 1
years 1
