5866058
/m/0f9t5v
/m/0f9t5v
Nick Sagan
2004
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
10 1
5000 1
a 22
about 1
accidentally 1
acquire 1
after 2
aftermath 2
agrees 1
air 1
alienated 1
all 6
allergic 1
also 3
amazon 1
american 1
an 6
and 37
annihilates 1
answer 2
are 4
as 8
assistant 1
at 1
athlete 1
back 3
base 2
be 7
bear 1
because 1
become 1
began 1
begin 2
being 1
believe 1
believes 2
believing 1
best 1
betrayed 1
better 1
betterment 1
black 2
blackmailing 1
bootcamp 1
both 1
boy 1
break 1
brief 1
brigit 2
bringing 1
britain 1
brought 1
build 1
but 4
buy 1
by 8
called 2
came 1
camp 3
camps 1
camptells 1
can 2
care 1
cause 1
causing 1
censored 1
champagne 1
character 1
children 5
childrenthe 1
chillingmutazz 1
choices 1
clone 6
cloning 2
codes 1
commits 1
composed 1
composite 2
computer 2
conduit 1
confront 1
consider 1
contemplate 1
contingent 1
continued 1
contribute 1
controlling 2
controls 1
course 1
coyote 1
crisis 2
cryogenics 1
cure 1
dalila 1
daughter 1
dealings 1
death 1
deceit 1
decision 1
delighted 1
demand 1
desire 1
despite 1
destroy 1
deuce 11
devoted 1
devout 1
diaries 1
did 1
die 1
disarray 1
divided 1
do 1
does 1
dollars 2
domains 1
down 3
download 1
drugsincluding 1
dyingit 1
each 1
eatbut 1
egypt 1
elope 1
else 1
ending 1
energy 1
entire 1
entirely 1
ep 1
especially 1
evaluations 1
everyone 1
everything 3
exchange 3
expedition 1
exposed 1
face 1
faced 1
factions 1
faith 1
falls 1
fana 1
fantasy 2
father 4
finds 1
fire 2
follow 2
follows 1
fool 1
for 5
force 1
found 1
founda 1
from 3
frozen 1
fulfilling 1
geanectis 1
genetic 1
gengineered 1
genius 1
germany 1
gets 1
getting 1
girls 6
given 1
global 1
go 2
god 3
goes 4
going 1
good 1
got 1
great 1
group 2
groups 2
haji 6
hal 2
halfway 4
halloween 7
has 4
have 2
he 10
headquarters 1
hears 1
help 1
her 13
here 1
hermes 1
herself 3
hessa 1
hex 1
him 5
himself 4
his 18
history 1
hit 1
hopefully 1
however 2
huge 1
human 4
humanity 3
idea 1
idealogical 1
idol 1
if 3
ill 1
important 1
improved 1
in 17
individual 1
informed 1
initially 1
inserted 1
inside 1
insists 1
instead 1
intended 1
intentions 1
into 3
is 29
isaac 3
isaacleader 1
isolationism 1
it 3
items 1
ivr 9
jam 1
jim 5
job 1
just 1
keep 2
key 2
kind 1
lab 1
lastcoupleonearth 1
launcher 3
leaders 1
led 2
leg 1
life 3
light 1
like 1
line 1
list 1
logs 1
loki 1
luxor 3
mad 1
made 1
main 1
maintains 1
make 1
makes 3
manipulation 1
may 1
meanwhile 1
medical 1
mediterranean 1
michigan 1
middle 1
money 3
monitors 1
monkeys 3
moodsuppressants 1
moodsuppressing 1
more 2
mores 1
move 1
munich 13
muslims 1
must 2
mutate 1
mutazz 1
named 1
need 1
network 1
news 1
ngozi 1
nice 1
no 1
not 2
obsessed 1
of 33
offers 1
olivia 2
on 7
one 3
only 2
operatic 1
or 1
other 2
out 3
over 1
overall 1
overdosed 1
overworked 1
own 2
pair 1
pandora 7
path 1
pay 2
peers 1
penelope 1
penny 8
person 1
personality 2
plague 3
pocket 1
policy 1
position 1
posthuman 1
posthumans 1
power 1
powers 1
prepares 1
presumably 1
previous 1
primates 1
problems 1
program 1
prometheus 1
protected 1
punishment 1
put 1
puts 1
queen 1
raise 1
raised 1
raising 1
range 1
raven 1
reaction 1
reading 1
realise 1
reality 1
realized 1
realizes 1
really 2
rebuild 1
recently 1
recognition 1
recognized 1
recognizes 1
recriminations 1
red 1
refuses 1
religion 1
remains 1
resolves 1
resorts 1
responsible 1
retrovirus 3
reveal 1
rocket 3
run 1
runs 1
sacrifice 1
sanitize 1
sap 1
say 1
school 1
scientist 1
secret 1
secretly 1
sees 1
selfannihilation 1
sender 1
sexdrive 1
shattered 1
she 13
shoot 1
shoots 1
should 1
shown 1
siblings 1
sister 2
sisters 1
sistersshe 1
sloane 2
small 1
smartest 1
so 3
society 1
solitude 1
some 1
somehow 1
someone 1
son 2
soon 1
special 1
speciallyengineered 1
splotches 1
stored 1
strawberry 1
stresses 1
strictly 1
strike 1
subliminal 1
successor 1
suddenly 1
suffering 1
sufi 1
suicide 1
supernatural 1
supposedly 1
suppressantsand 1
survival 1
symphonies 1
system 1
systems 1
tablets 1
take 1
takes 1
technology 1
tells 3
than 1
that 15
the 76
their 3
them 3
thereby 1
they 5
things 2
thinks 2
this 4
threatens 1
three 1
through 1
to 47
tomi 1
track 1
tracking 1
travel 1
trickery 1
trickster 1
truth 1
trying 1
two 4
ultimate 1
unbalanced 1
up 1
upon 1
use 1
used 1
using 1
vaccine 1
various 1
vashti 4
vasthi 1
via 1
virtual 2
wary 1
was 2
watch 1
watchingshe 1
weakness 1
weaponry 1
well 1
were 1
what 2
when 6
where 3
which 1
who 2
will 1
wiped 1
with 7
women 1
wonders 1
work 1
working 3
world 6
writer 1
year 1
younger 1
