21111597
/m/05c19vx
/m/05c19vx
Jane Rogers
1999
a 6
abandoned 1
aim 1
and 4
are 2
at 1
based 1
birth 1
black 1
brother 4
by 2
caliban 1
calum 2
characters 1
confounded 1
dangerous 1
discovery 1
disturbed 1
goes 1
has 1
hatefilled 1
her 2
in 1
intent 1
island 1
life 1
loosely 1
love 1
mind 1
mother 2
nikki 2
of 1
on 1
one 1
only 1
phyllis 1
plans 1
possessed 1
prospero 1
punishing 1
revenge 1
seeing 1
she 1
strange 1
strangely 1
streak 1
terrifyingly 1
that 1
the 5
their 1
to 1
transform 1
upon 1
violent 1
way 1
who 1
whose 1
with 2
woman 1
world 1
young 1
