14187860
/m/03cx7q5
/m/03cx7q5
Yasutaka Tsutsui
1993
a 3
allowing 1
alterego 1
and 4
anyone 1
as 1
assailant 1
begun 1
brilliant 1
but 1
calling 1
colleague 1
control 1
created 1
criminal 1
dc 1
developing 1
device 1
devices 1
disorders 1
dream 1
dreamanalysis 1
dreams 1
employee 1
enact 1
ensues 1
enter 1
establishment 1
existing 1
field 1
for 1
form 1
frantic 1
future 1
has 2
her 2
illnesses 1
in 2
infiltrate 1
institute 1
intervention 1
is 3
it 1
means 1
mental 1
mind 2
mini 1
monitoring 1
most 1
near 1
new 2
nobel 1
obese 1
of 5
others 1
prizewinning 1
prominent 1
psychiatry 1
psychotherapy 2
research 1
scientist 1
search 1
stolen 1
superminiaturized 1
the 12
their 1
this 1
to 2
treat 1
treating 1
unrest 1
using 1
version 1
when 1
