15428906
/m/03m89f7
/m/03m89f7
Leonardo Sciascia
1988

a 6
ad 1
affected 1
although 1
and 3
as 3
aurispa 1
been 2
behind 1
believes 1
businessman 1
but 1
by 3
called 1
cancer 1
chief 2
clearly 1
convinced 1
cover 1
crime 1
cultured 1
deadly 1
death 1
detective 3
disease 1
group 2
has 2
he 1
his 1
hoc 1
il 1
ill 1
impending 1
in 1
increasingly 1
invented 1
investigates 1
involved 1
is 7
it 1
killed 1
lawyer 1
learn 1
murder 2
mysterious 1
mystery 1
name 1
never 2
novel 2
of 4
openly 1
permeated 1
phoney 1
police 1
powerful 1
protagonist 1
real 1
reasons 1
revolutionary 2
sandoz 2
scapegoat 1
sense 1
simply 1
stated 1
tenacious 1
that 3
the 13
tired 1
to 2
tries 1
unravel 1
up 1
vice 3
we 1
which 1
whose 1
