62695
/m/0gy7g
/m/0gy7g
Thornton Wilder


101 1
12th 1
a 16
about 6
act 2
affair 1
affiliations 1
after 1
aisle 1
alcoholism 1
among 1
an 2
ancient 1
and 34
anxiety 1
anyone 1
appendix 1
as 5
asks 2
at 1
audience 6
awkward 1
back 1
bank 1
baseball 1
be 4
before 1
begins 1
being 2
beside 1
beyond 1
big 1
birth 1
birthday 1
both 1
brings 1
brother 1
burst 1
but 2
by 3
came 1
camping 1
capsule 1
causing 1
cemetery 1
characters 1
child 1
children 1
choir 2
college 1
common 1
composure 1
concludes 1
confronts 1
copy 1
corners 2
cornerstone 1
cousin 2
craig 1
cream 1
creates 1
crowell 2
culture 1
cultures 1
day 2
dead 2
decides 1
delivering 1
delivers 2
describing 1
despite 1
died 2
director 1
discuss 2
do 1
doc 1
down 1
drunkard 1
each 1
earth 3
editor 1
emerges 1
emily 11
emphasizing 1
end 1
ends 1
eternity 1
evening 1
eventually 1
every 2
exchange 1
farm 1
father 1
few 2
fields 1
filled 1
finally 1
finds 1
fit 1
follows 1
for 3
forget 1
frets 1
from 3
funeral 2
future 1
george 13
gibbs 7
gives 1
giving 1
go 1
good 1
grave 1
graveside 1
grover 2
guides 1
gushes 1
had 1
hampshire 1
hanging 1
has 1
he 3
her 8
here 1
hints 1
his 6
history 1
home 2
homework 1
households 1
how 2
however 1
howie 2
ice 1
if 1
impassively 1
in 7
information 1
injustice 1
inlaws 1
inside 1
interrupts 1
introduces 2
is 8
it 2
its 1
joe 3
join 1
junior 1
just 2
key 1
kneels 1
lack 2
laid 1
laments 1
learn 1
lengthy 1
lesson 1
life 4
live 1
local 1
locations 1
longwinded 1
love 1
making 1
man 1
manager 9
marriage 1
marry 1
maybe 1
meet 1
mentions 1
milk 2
minute 1
monologue 1
moon 1
morning 1
mother 2
moving 1
mrs 10
much 1
must 1
neighboring 1
nervousness 1
new 2
newsome 2
night 1
nine 1
no 1
not 2
notes 1
noting 1
observations 1
of 13
off 1
on 3
one 1
open 1
opens 1
other 1
others 1
out 1
outside 1
over 2
painful 1
paper 1
pass 1
pays 1
people 1
placed 1
planned 1
play 4
played 1
pleased 1
plosion 1
pneumonia 1
poets 1
poignantly 1
political 1
pouring 1
practice 1
preacher 1
prehistory 1
prepare 1
pretty 1
pride 1
probable 1
proceeds 1
professor 1
questions 2
rain 1
ready 1
realizes 2
rebecca 1
reflecting 1
refuses 1
regain 1
religious 1
relive 1
reputation 1
residents 1
resolves 2
responsibility 1
return 1
returned 1
returns 1
saints 1
sam 1
saying 1
scene 1
scenery 1
school 2
second 1
selfconsciously 1
send 1
she 7
should 1
si 1
simon 3
since 1
small 1
soames 4
social 1
soda 1
some 1
soontobe 1
sparse 1
squandered 1
stage 9
stimson 2
stoddard 1
stress 1
strike 1
suicide 1
take 1
takes 1
taking 1
talents 1
talk 1
teaches 1
tells 3
that 7
the 52
their 5
then 2
they 5
this 1
three 1
through 1
time 1
to 20
told 1
too 2
town 3
traveling 1
turns 1
two 1
uncle 1
undertaker 1
us 1
valued 1
very 1
visit 1
wait 1
wally 1
warnings 1
watching 1
way 1
we 2
webb 4
wed 2
wedding 1
weeping 1
were 1
where 1
whether 1
while 4
whispers 1
who 3
whole 1
will 3
windows 1
wishes 2
with 5
words 1
work 1
world 1
year 2
years 2
young 2
younger 1
