667309
/m/0316z4
/m/0316z4
John Steinbeck
1942
a 14
action 1
after 1
alderman 1
alexander 1
all 1
along 1
amongst 1
an 2
and 20
angry 1
any 2
apart 1
apology 1
are 2
army 4
around 1
as 1
ask 1
at 1
away 1
axe 1
battalion 1
be 2
because 1
been 1
before 1
beginning 1
bentick 1
beyond 1
bleak 1
break 1
breaks 1
but 2
by 5
can 4
captain 2
catalyzes 1
chocolates 1
circuited 1
civility 1
coal 1
coastal 1
col 1
cold 1
colonel 2
confused 1
conquered 1
constant 1
containing 1
continued 1
damaged 1
death 1
debt 1
democracy 1
democratically 1
dialogues 1
dies 1
doctor 1
down 1
dr 2
drinks 1
dynamite 1
dynamo 1
earlier 1
efforts 1
elected 1
electricity 1
end 1
england 1
english 2
erstwhile 1
escape 1
establishes 1
executed 1
execution 2
explain 1
explosives 1
fear 1
firing 1
flies 1
flypaper 1
for 1
force 2
free 1
freedom 2
friend 1
from 1
futility 1
generators 1
get 1
gets 2
goal 1
goes 1
guard 1
has 1
have 1
he 6
head 1
heart 1
heavy 1
high 1
him 1
his 11
historian 1
home 1
hostage 1
house 1
hq 1
idea 1
ie 1
imminent 1
important 1
impossible 1
in 7
incident 1
intensify 1
into 2
invading 2
is 11
it 3
its 1
killed 2
known 1
knows 2
lanser 3
large 1
law 1
lead 1
lets 1
linking 1
little 1
loft 1
machinery 1
make 1
man 1
mans 1
many 2
mayor 6
members 1
mine 3
morden 2
no 1
nothing 1
occupation 1
occupying 1
of 18
often 1
on 1
operate 1
or 1
orden 4
ordered 1
out 2
overrun 1
packages 1
panic 1
parachutedrop 1
part 1
path 1
peaceful 2
people 5
permanently 1
pick 1
planes 1
play 1
played 1
popular 1
port 2
railroad 1
reach 1
reality 1
realize 1
regularly 1
relaxes 1
reminds 1
repaid 1
resistance 4
return 1
revenge 1
school 1
sections 1
serves 1
settle 1
short 1
silent 1
simple 1
sinks 1
slow 1
small 2
snows 1
so 2
socrates 1
soldier 1
some 1
soon 1
spirit 1
squad 1
staff 1
stands 1
state 1
steps 1
sticks 1
stop 1
strikes 1
summary 1
sure 1
surprise 1
taken 2
takes 1
tells 2
than 1
that 12
the 43
their 2
there 1
they 3
this 1
those 1
to 10
torn 1
town 6
townspeople 1
trial 1
tries 2
turns 1
under 1
usual 1
veil 2
veteran 1
waiting 1
war 2
wars 1
weather 2
weighs 1
when 1
whenever 1
while 1
whom 1
whose 1
wife 1
will 1
winter 2
wish 1
with 6
woman 1
work 1
