18872432
/m/04gt54y
/m/04gt54y
Peter Lovesey
1982-03-11
{"/m/0lsxr": "Crime Fiction"}
121 1
a 3
aboard 2
achieve 1
alma 1
and 2
baranov 1
but 1
by 1
captain 1
case 1
crippen 1
crippens 1
dentist 2
dew 2
dr 1
foreseeable 1
her 1
his 1
identity 1
in 1
inspector 2
inspired 1
investigate 1
invites 1
is 3
it 2
liner 1
love 1
mauretania 1
murder 2
nemesis 1
occurs 1
ocean 1
of 3
on 1
one 1
only 1
outcome 1
passionately 1
perfectly 1
plot 1
reader 1
reallife 1
romances 1
ship 1
takes 1
the 7
then 1
there 1
they 1
to 2
walter 2
way 1
webster 1
wife 1
with 1
