29505045
/m/0ds9zh_
/m/0ds9zh_
Andy Lane
2010-11-05
{"/m/028v3": "Detective fiction"}
a 6
accompany 1
after 1
aided 1
alias 1
all 1
along 1
america 3
amyus 6
and 15
any 1
are 3
arnatt 1
as 1
at 1
balthassar 2
be 2
become 1
becomes 1
being 2
board 1
booth 4
brief 1
british 1
brothers 1
but 2
by 3
canada 1
captured 1
chase 1
clear 1
cloud 1
come 2
comes 1
concludes 1
confederate 1
conspiracy 1
conspirators 8
conversation 1
crowe 1
death 1
decided 1
determined 1
disappointed 1
discover 1
diverted 1
duke 1
encouragement 1
england 1
enlisting 1
enters 1
escapes 1
events 2
face 1
fellow 1
few 1
fight 1
find 1
fire 1
flight 1
foil 1
follow 2
following 1
from 2
given 1
godalming 1
golaming 1
grounds 1
guarded 1
hampshire 1
happened 1
has 4
have 3
he 6
heading 1
headquarters 1
held 1
helen 1
help 2
hiding 1
him 1
holmes 4
horseback 1
house 1
immediately 1
in 5
intelligence 1
invade 1
investigation 1
is 12
it 3
john 2
kidnapped 2
know 3
knows 1
let 2
lets 1
like 1
locates 1
look 1
man 2
manor 2
matty 6
may 1
months 1
morning 1
mycroft 4
needs 1
new 1
next 1
of 8
off 1
on 4
once 1
one 2
only 1
or 1
organizer 1
out 1
perilous 1
period 1
plan 2
pleased 1
purpose 1
reach 1
rescuing 1
returns 1
roof 1
scarred 1
serious 1
sets 1
sherlock 11
side 1
so 1
somewhat 1
st 1
staying 1
strongholda 1
suspect 1
suspected 1
suspects 1
taken 1
that 9
the 23
them 2
there 1
they 4
this 1
three 1
time 1
to 12
train 3
turn 1
under 2
unsuccessful 1
virginia 4
visit 3
way 1
what 2
when 2
where 2
which 1
who 2
whose 1
wilkes 1
will 3
with 2
without 1
