2260756
/m/06_0dv
/m/06_0dv
Brian Keene
2003-04
{"/m/014dfn": "Speculative fiction", "/m/03npn": "Horror", "/m/02xlf": "Fiction"}
a 25
ability 1
about 1
abuse 1
accelerator 2
aftermath 2
all 2
allowing 1
along 1
also 1
among 1
amongst 1
an 3
and 16
answers 1
apocalyptic 1
appears 1
are 3
army 2
around 1
as 5
assistant 1
at 1
authority 1
away 2
back 1
backwood 1
bait 1
baker 6
baltimore 1
be 2
because 1
become 1
begins 2
behavior 1
being 1
black 2
body 1
bomb 1
but 1
by 4
called 1
cannibals 1
cars 1
cellphone 1
chaos 1
chapter 1
characters 1
charge 1
cities 1
cliffhanger 1
colleague 1
colonel 1
come 1
comes 1
comrades 1
conclusion 1
confines 1
connotation 1
considers 1
constructed 1
construction 1
cosmic 1
country 1
covert 1
creating 1
crew 1
danny 5
daughter 1
dead 3
deaf 1
deceased 1
decided 1
demands 1
demons 2
destination 1
destiny 1
different 1
directly 1
disaster 1
discovering 1
disgusted 1
disregard 1
distraught 1
double 1
drafting 1
drive 1
earth 1
elderly 1
entity 1
epidemic 1
equally 1
escape 1
escapes 2
even 1
eventually 3
evil 1
experiment 2
exploits 1
extra 1
extreme 1
father 1
fear 1
feel 1
fights 1
final 1
find 1
finds 2
first 1
food 1
for 5
forces 1
frankie 2
from 6
full 1
grateful 1
gruesome 1
guard 1
guilt 1
had 1
has 3
having 1
he 7
heads 1
hell 1
help 2
heroin 1
hide 1
hiding 3
him 2
himself 2
hints 1
his 16
holds 1
holes 1
horny 1
host 1
humans 1
in 12
infesting 1
inside 1
instead 1
interdimensional 1
into 8
involving 1
is 13
jersey 2
jim 12
join 1
keeps 1
kill 1
killing 1
laments 1
leader 1
leading 1
learns 1
leaves 1
life 2
lifethreatening 1
like 1
literally 1
living 4
lone 1
looks 1
main 1
man 1
many 2
martin 2
meanwhile 2
meet 1
meets 2
member 1
memories 1
message 1
minister 1
moment 2
morbid 1
more 1
named 2
narrowly 1
national 1
neighbors 2
new 3
not 1
ob 3
occupied 1
of 23
off 2
official 1
old 1
on 4
one 3
opened 1
original 1
other 1
out 3
outbreak 1
over 1
overrun 1
overwhelming 1
packs 3
particle 2
pennsylvania 1
people 1
personalities 1
phone 1
pimp 1
plague 1
possess 2
possessing 1
possession 1
pregnant 1
present 2
previously 1
private 1
professor 2
project 1
prostitute 1
protagonist 1
providing 1
psychotic 1
purpose 1
questions 1
raises 1
reach 1
recently 1
refers 1
released 1
rescue 1
responsible 2
results 2
rift 1
rings 1
room 2
roving 2
run 3
safe 1
same 1
satisfy 1
saved 1
scene 1
schow 1
scientist 2
scientists 1
second 2
secret 1
seeking 1
seeks 1
selves 1
sense 1
set 1
sexual 1
shelter 4
sights 1
situation 2
situations 1
skip 1
slaves 1
sociopathic 1
soldiers 2
some 2
somehow 1
somewhere 2
son 3
soon 1
sort 1
starts 1
states 1
story 3
strikes 1
such 1
suicidal 1
suicide 2
supplies 1
swept 1
tabs 1
takes 1
taking 1
taunts 1
than 1
that 8
the 51
their 5
them 1
they 3
think 1
this 1
thoughts 1
thurmond 2
time 1
to 13
together 1
too 1
tragedy 1
trapped 3
traps 1
trek 1
trying 1
turn 1
turning 1
two 2
unborn 1
undead 7
under 1
underground 1
unexpectedly 1
united 1
until 1
up 1
upstate 1
use 1
user 1
uses 1
utter 1
vengeful 1
violence 1
violent 1
violently 1
virginia 1
void 1
was 3
way 2
weapons 1
were 1
west 1
when 1
which 7
while 1
whispers 1
who 10
whom 1
wife 3
wildlife 1
wing 1
wise 1
with 10
within 2
women 1
worker 1
working 1
workspace 1
world 3
worm 1
worries 1
y2k 1
young 1
zombie 3
zombies 4
zoo 1
