5765896
/m/0f3hpk
/m/0f3hpk
Elizabeth Haydon

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 7
achmed 4
against 1
also 2
an 1
anborn 2
and 10
are 1
army 1
arrives 1
as 3
ashe 1
assassin 1
at 2
attacked 1
attended 1
baby 1
becomes 1
been 1
book 1
by 3
calls 1
child 1
city 1
clear 1
come 1
constantin 2
control 1
cymrian 2
daughterinlaw 1
death 2
declines 1
demons 2
destiny 1
dhracian 1
died 1
dragon 1
dragons 2
duke 1
earth 2
elegy 1
end 1
fdor 2
firbolg 1
for 5
forest 1
gather 1
glade 1
grunthor 2
gwydion 1
happened 1
has 2
he 1
her 1
him 2
his 6
hold 1
holy 1
hunt 1
hunter 1
in 2
is 1
it 2
itself 1
join 1
king 3
known 1
lady 1
llauron 1
lord 2
lore 1
loss 2
lost 1
making 1
marshal 1
means 1
meanwhile 1
meeting 2
meets 1
meridion 2
mourn 1
navarne 2
neighbours 1
new 1
newborn 1
nobles 1
now 1
of 12
other 1
over 1
patriarch 1
preparations 1
previous 1
primeval 1
priorities 1
protecting 1
protector 1
rath 3
represents 1
request 1
result 1
rhapsody 1
ruler 1
safety 1
same 1
sea 1
searching 1
secret 1
sends 1
sepulvarta 2
sergeant 1
series 1
snake 1
son 1
sorbold 1
sorboldian 1
star 1
talquist 1
tells 1
terrified 1
that 2
the 18
this 1
time 1
to 6
travel 1
troops 1
war 1
what 1
which 2
who 2
wife 1
will 1
with 2
yet 1
ylorc 2
young 1
ysk 1
