6067175
/m/0fncny
/m/0fncny
Patrick White
1941-06
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
2 1
a 11
abortion 1
about 1
achieve 1
action 1
affluence 1
afterwards 1
again 1
all 1
allows 1
american 1
amongst 1
an 5
and 10
any 1
are 3
artistic 1
as 1
at 2
attendant 1
away 1
barnett 2
bears 1
begins 1
best 1
between 1
bids 1
bookshop 1
both 1
british 1
brought 1
but 3
by 4
cambridge 1
cancer 1
catherine 6
chapter 2
childhood 1
children 3
circumstances 1
civil 1
classes 1
collins 1
complete 1
connie 1
conscience 2
cruel 1
dead 2
death 2
decades 1
deceased 1
decides 1
deep 1
depth 1
devoted 1
direction 1
disappears 1
discards 1
dissatisfactions 1
distances 1
does 1
drunk 1
due 1
during 1
dwindling 1
earlier 1
eden 5
elyot 7
emotional 1
emotions 1
empty 1
england 1
even 1
ever 1
existence 1
expect 1
face 1
facing 1
fail 1
failures 1
family 2
farewell 1
fashionable 1
final 1
find 1
finds 1
firm 1
first 1
focus 1
following 1
forced 1
friend 1
from 2
full 1
further 1
gives 1
goose 1
graduate 1
guardians 1
happiness 1
he 1
her 14
herself 1
him 1
himself 3
his 2
hope 1
house 1
i 1
in 10
infidelity 1
influenced 1
inner 1
intellectual 1
interest 1
into 1
irrelevant 1
is 9
isolates 2
it 2
its 1
joe 3
julia 1
killed 1
kitty 1
leftist 1
leftwing 1
life 1
living 3
london 1
longsought 1
loses 1
lover 2
maid 1
man 1
manner 1
married 1
marries 1
meaningful 1
memories 1
most 1
muchchanged 1
muriel 1
musician 1
neither 1
never 1
not 2
observing 1
of 7
offers 1
on 1
opening 1
opens 1
opposites 1
or 2
others 1
overseas 1
own 1
paradoxically 1
particularly 1
party 1
place 1
politics 1
position 1
possessions 1
prewar 1
professional 1
purposeless 1
pursue 1
pursues 1
pursuits 1
questions 1
raised 1
raises 1
raphael 1
reader 2
relate 1
relationship 2
relationships 1
remain 1
remnants 1
returns 1
rightful 1
rises 1
romance 2
satisfies 1
second 1
secrecy 1
see 1
separates 1
several 1
severed 1
sexual 1
significance 1
silent 1
sister 1
socialite 1
society 1
somberly 1
some 1
spain 2
spanish 1
spills 1
standish 2
standishes 1
station 2
sterility 1
struggles 1
suffers 1
surrogate 1
surrounding 1
taken 1
takes 1
that 4
the 25
their 2
this 2
those 1
through 1
thus 1
tiarks 1
to 12
tragedy 1
two 2
unattractive 1
understands 1
upper 1
victoria 1
wally 2
war 3
way 1
when 1
where 1
whether 1
whilst 1
who 3
willy 2
with 5
without 1
women 1
world 2
writer 1
years 1
yet 2
young 1
younger 2
