4081828
/m/0bh2z2
/m/0bh2z2
Dave Wolverton

a 21
abandons 1
abducts 1
able 1
aboard 2
about 1
academy 1
accepted 1
accepts 1
access 1
accompanied 1
acquire 1
action 1
after 1
ago 1
aided 1
alderaan 1
all 2
allows 1
an 4
and 27
appears 1
are 2
around 1
arrives 1
arriving 1
as 3
at 2
back 1
battle 5
beam 2
been 4
before 1
beloved 1
best 1
between 1
bonsai 1
both 1
breaks 1
bridge 2
but 1
by 8
c3p0 1
cannons 1
cantina 1
capital 1
captor 1
captured 3
centuries 1
chewbacca 1
chume 1
chuunthor 2
claim 1
class 1
cluster 2
combination 1
command 2
comments 1
compare 1
complete 1
compounds 1
concussion 1
conned 1
consoled 1
consortium 1
controlled 1
conventional 1
coruscant 3
covering 1
cruiser 2
crumbles 1
dathomir 8
dathomiri 1
dathomirin 1
deal 1
deed 1
deflector 1
delegation 2
denigrating 1
despite 1
destroyers 2
destroying 1
devastated 1
devastating 1
dictated 1
did 1
diplomatic 1
disabling 1
discover 1
discovered 1
djo 1
do 1
dozen 1
dragons 2
driving 1
drops 1
due 1
during 1
each 1
effect 1
emissions 1
empire 1
end 1
ending 1
enslave 1
enters 1
entire 1
estate 1
eventually 3
examines 1
execute 1
expatriates 1
expecting 1
exposed 1
fact 1
failed 1
falcon 5
fallen 1
fastness 1
favorably 1
fear 1
fearsome 1
fighter 1
fights 1
financial 1
first 1
fist 3
fistdefeated 1
flees 1
fleet 2
for 2
force 1
forced 1
formal 1
found 1
free 1
freeze 1
frenzy 1
from 1
further 1
gain 1
galaxy 1
game 1
garrison 2
geostationary 1
gethzerion 1
gift 2
gifts 2
gigantic 1
give 2
great 1
gun 2
habitable 1
had 10
han 13
hand 1
hapan 5
hapes 5
has 4
having 2
he 14
head 2
headstart 1
heart 1
help 1
her 2
heretofore 1
hidden 1
highstakes 1
him 3
his 14
holy 1
how 1
however 1
hunted 1
hyperspace 3
if 2
imperial 6
in 6
infiltrate 1
inform 1
injury 1
instead 1
instruments 1
insult 1
intact 1
intelligence 1
interconnected 1
interference 1
into 7
intrepid 1
intruder 1
ion 1
iron 4
is 6
isolder 9
it 6
itself 1
jealousy 1
jedi 3
journey 1
keep 1
killing 1
knights 1
knocking 1
laid 1
land 1
lands 1
later 1
launches 1
learned 1
learns 1
leia 8
library 1
life 1
lightsaber 1
like 1
liked 1
liquid 1
lock 1
long 2
longevity 1
love 1
loved 1
lower 1
luke 5
main 1
manner 1
marooned 1
marry 1
master 1
matrimony 1
millennium 3
missiles 1
miytil 1
mon 1
move 1
navigate 1
nearly 1
need 1
network 1
new 3
nightcloak 1
nightsisters 1
not 1
noting 1
nova 2
novel 1
number 4
of 30
off 1
offering 1
on 6
once 1
one 1
ongoing 1
only 1
opening 1
opponents 1
orbit 1
orbital 1
other 3
out 6
over 1
palace 1
participates 1
path 1
peruse 1
pilot 1
piloting 2
place 1
planet 3
plant 1
points 1
position 1
powers 1
presence 1
present 1
prince 2
princess 1
proffers 1
promotes 1
prosecuting 1
prove 1
provide 1
pursues 1
quest 1
reaches 1
real 1
realized 1
recently 2
reception 1
recordings 1
redoubt 1
refitted 1
reflected 1
remnant 1
remnants 1
remonda 1
republic 3
resembling 1
resettle 1
retreats 1
retrieve 1
returns 1
routes 1
ruler 1
runs 1
sabacc 1
safe 1
satellites 1
seal 1
search 1
secret 1
section 1
seen 2
sent 1
separation 1
sets 1
shaving 1
shields 2
ships 1
shipyard 1
shorter 1
shortly 2
shuttle 1
since 1
skywalker 1
slowly 1
small 1
snaps 1
so 3
solar 1
solo 5
some 1
son 1
soon 1
space 1
star 2
starborne 1
steal 1
still 1
stunning 1
superstructure 1
surface 2
surprise 1
system 1
taa 1
take 1
teneniel 1
that 5
the 64
their 2
them 3
there 1
thereafter 1
they 8
thinks 1
this 1
thoroughly 2
through 1
time 1
to 22
together 1
torture 1
tractor 1
training 1
translates 1
truly 1
two 1
ultimatum 1
upon 1
uses 1
using 1
ventral 1
vessel 5
village 1
wanders 1
was 3
watches 1
wearily 1
what 1
when 2
where 4
whereabouts 1
which 4
while 1
who 4
win 1
witch 1
witches 1
with 10
within 1
worthiness 1
would 6
xwing 1
years 1
yoda 1
zsinj 7
