555554
/m/02pjyv
/m/02pjyv
Henrik Ibsen

a 35
account 1
accounted 1
across 1
act 1
actually 1
addresses 1
after 2
agrees 1
all 7
alone 2
along 2
also 2
although 1
always 1
among 1
amorous 1
an 7
and 56
anitra 1
another 1
answer 1
answers 3
anyone 1
anything 1
appears 1
are 3
around 3
as 14
ash 1
asked 3
asking 1
asks 3
aslak 1
at 8
attends 1
auction 2
away 3
awry 2
back 2
banished 1
be 11
beats 1
because 4
become 2
becomes 1
becoming 1
bedouin 1
been 5
begat 1
begotten 1
behind 2
being 1
believes 2
believing 1
bereft 1
between 1
blacksmith 1
board 1
boy 2
braggart 1
brat 1
brawl 1
breaks 1
bride 3
bringer 1
brow 1
buckride 1
build 1
built 1
bush 1
businessman 2
but 9
button 1
buttonmolder 2
by 9
byg 5
cabin 2
calls 2
can 3
cannot 1
cares 1
chance 1
chances 1
character 1
characteristics 1
characters 1
chieftain 1
child 3
china 2
choice 1
clad 1
claims 3
close 1
clothes 1
coast 1
come 1
comes 4
companions 1
completely 1
conditions 1
confess 1
confronted 4
considered 1
corner 1
corpse 1
cottage 1
courted 1
creature 1
crossroads 1
crucial 1
cursed 1
dairymaids 1
dance 1
dares 1
daughter 5
day 2
dearest 1
death 1
deathbed 1
debt 1
decides 3
declines 1
defence 1
degree 1
delighted 1
demands 1
denies 1
description 1
desert 1
despairs 2
devil 1
dialogue 1
did 2
dies 1
difference 1
directions 1
disapprove 1
do 1
does 2
done 1
down 2
dreams 2
dreamt 1
drinking 1
during 1
earlier 2
egoism 1
egypt 1
elder 1
elderlyappearing 1
else 2
emperor 2
encounters 1
end 2
engaged 1
enter 1
enterprises 1
enters 1
escapes 1
especially 1
everything 1
explain 1
explains 1
facing 2
fact 1
fairy 1
faith 1
family 1
famous 1
farm 2
farmer 1
father 3
faulty 1
feasting 1
fetch 1
finally 2
find 1
finds 1
folklore 1
following 1
follows 1
food 1
fools 1
for 17
forcing 1
forfeited 1
forget 1
fortune 1
from 11
funeral 1
garments 1
gear 1
generally 1
get 1
gets 1
ghostly 1
girl 1
give 1
given 1
gives 4
go 3
god 3
goods 1
greek 1
green 2
greenclad 2
grudge 1
grumpy 1
gudbrandsdalen 1
guests 1
gynt 5
had 2
hailed 2
halfhuman 1
hall 2
hand 1
hangover 1
has 14
haugean 1
have 4
he 59
head 1
