573091
/m/02rf17
/m/02rf17
Halldór Laxness
1934
{"/m/05hgj": "Novel"}
874 1
a 13
add 1
adfor 1
after 1
again 1
almost 1
also 3
altered 1
an 2
and 18
animal 2
annual 1
appears 1
appease 1
are 1
arnarson 1
around 1
arrived 1
as 6
assumes 1
at 3
autumn 1
baby 1
bailiff 2
battle 1
be 2
been 1
begin 1
begins 2
behind 1
beloved 1
between 1
bjartur 10
blizzard 1
book 2
bright 1
but 2
buys 1
by 7
cairn 1
called 1
cannot 1
case 1
central 1
century 1
changes 1
chapter 1
charity 1
charts 1
child 1
childbirth 1
clinging 1
columba 1
comes 1
commences 1
company 1
compare 1
conceits 1
convinced 1
croft 1
curled 1
curse 1
cursed 1
daughter 1
days 1
decades 1
decides 1
defiantly 1
delayed 1
desperate 1
determined 1
detests 1
devil 1
died 1
dies 1
discovers 1
district 1
does 1
dog 2
down 1
dream 1
dreams 1
drudgery 1
due 1
early 1
eats 1
effect 1
eighteen 1
even 1
evil 1
exists 1
exposure 1
fair 1
farm 2
farmer 1
farmers 1
fellow 1
fiend 1
find 1
finds 1
finna 2
first 3
for 6
from 3
generally 1
gimmer 3
girl 1
gubjartur 1
gumundur 1
gunnvr 2
gvendur 1
had 2
hallbera 1
has 3
haunted 1
he 8
heavily 1
helgi 1
help 1
her 6
his 7
home 2
however 2
i 1
iceland 2
icelandic 2
in 10
independence 1
independent 3
inglfur 1
inhabitants 2
inside 1
into 1
is 15
it 2
jn 1
jnsson 2
keep 1
kills 1
klumkilli 1
known 1
kolumkilli 1
land 1
later 1
leaves 1
leaving 1
life 3
lily 1
live 1
local 1
loose 1
luxury 1
made 1
man 1
managed 1
marriage 1
meat 1
men 1
middle 1
millennium 1
miserable 1
misery 1
more 1
mother 1
mountains 2
mutton 1
name 1
named 1
names 1
narrative 1
nearly 1
new 2
newly 1
night 1
no 1
nonni 1
norsemen 1
not 1
novel 3
now 2
of 17
on 5
once 1
one 2
optimism 1
or 1
other 3
over 1
own 1
pact 1
parish 1
particularly 1
payment 1
people 3
pointedly 1
poorest 1
possessed 1
poverty 1
pregnant 2
prices 1
put 2
raise 1
rausmri 3
rebellions 1
recently 1
referred 1
refuses 1
relationship 1
relief 1
remarried 1
reminds 1
rest 1
return 1
returns 1
ride 1
roundup 1
rsa 6
said 1
saint 1
scarcely 1
search 1
second 1
set 2
settled 1
she 2
sheep 3
shepherd 1
should 1
sllilja 2
so 1
soar 1
son 1
sons 1
sta 2
still 1
stone 1
storm 1
story 2
struggle 1
summerhouses 5
summons 1
sun 1
survival 1
survives 1
surviving 1
taking 1
tale 1
terrified 1
that 10
the 56
their 1
they 1
thirteen 1
three 1
time 1
timeless 1
tirausmri 1
titla 1
to 20
twentieth 1
up 2
us 1
used 1
war 1
warmth 1
was 2
wed 1
well 1
welltodo 1
what 1
when 5
which 1
who 2
wife 1
winter 1
winterhouses 1
with 3
woman 3
wool 1
worker 1
working 1
world 3
wry 1
year 1
years 2
young 1
